ID,Main,Location,Corporation,Href,Date
0,Kiemelt        TERMÉKFEJLESZTŐ VILLAMOSMÉRNÖK,"Téglás, 4243 Magyarország, Hajdú-Bihar",HAJDU Hajdúsági Ipari Zrt.,https://www.cvonline.hu/hu/premium/allas/termekfejleszto-villamosmernok-1267380,2023-04-04
1,IT adatelemző és Controlling szakértő - Budapest,"Budapest, Pest",OTP Bank NyRt.,https://www.cvonline.hu/hu/standard/allas/it-adatelemzo-es-controlling-szakerto-budapest-1263891,2023-04-04
2,ERP tréner,Nyíregyháza,HSA Kft.,https://www.cvonline.hu/hu/allas/erp-trener-1188840,2023-04-04
3,Senior SAP consultant,Budapest,HSA Kft.,https://www.cvonline.hu/hu/allas/senior-sap-consultant-1273561,2023-04-04
4,Angular Frontend Developer,Debrecen,HSA Kft.,https://www.cvonline.hu/hu/allas/angular-frontend-developer-1273562,2023-04-04
5,Senior JAVA Developer,Budapest,HSA Kft.,https://www.cvonline.hu/hu/allas/senior-java-developer-1207095,2023-04-04
6,Teszteszköz fejlesztő mérnök,Budapest,HSA Kft.,https://www.cvonline.hu/hu/allas/teszteszkoz-fejleszto-mernok-1209779,2023-04-04
7,IT Specialist,"Nyírbátor, 4300 Magyarország",HSA Kft.,https://www.cvonline.hu/hu/allas/it-specialist-1251143,2023-04-04
8,Informatikai folyamatfejlesztő,Nyíregyháza,HSA Kft.,https://www.cvonline.hu/hu/allas/informatikai-folyamatfejleszto-1229348,2023-04-04
9,Salesforce Administrator,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/salesforce-administrator-1215341,2023-04-04
10,Salesforce Marketing Cloud Specialist,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/salesforce-marketing-cloud-specialist-1207771,2023-04-04
11,Frontend Architect,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/frontend-architect-1257536,2023-04-04
12,Senior Embedded Software Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-embedded-software-engineer-978867,2023-04-04
13,Embedded Software Test Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/embedded-software-test-engineer-1071484,2023-04-04
14,Embedded Software Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/embedded-software-engineer-1071485,2023-04-04
