ID,Main,Location,Corporation,Href,Date
0,Diákmunka - Analízis mérnök gyak...,Budapest,Műisz Iskolaszövetkezet,https://itpeople.hu/allasok/budapest/diakmunka-analizis-mernok-gyakornok/5508000,2023-04-04
1,Diákmunka - Junior Test Engineer...,Budapest,Műisz Iskolaszövetkezet,https://itpeople.hu/allasok/budapest-xi-kerulet/diakmunka-junior-test-engineer-trainee-362216/5507000,2023-04-04
2,Törzskönyvező dokumentátor orosz...,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/torzskonyvezo-dokumentator-orosz-nyelvtudassal-palyakezdojuniormediorsenior7 oras-reszmunkaidos-akar-100-home-office/5506000,2023-04-04
3,Pénzügyi vezető ,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/penzugyi-vezeto-kontrolling-fokusszal/5505000,2023-04-04
4,Háziorvos,Békés megye,PBS International Kft.,https://itpeople.hu/allasok/bekes-megye/haziorvos/5504000,2023-04-04
5,Junior IT Business Analyst and D...,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/junior-it-business-analyst-and-devops-engineer/5503000,2023-04-04
6,System Installation Specialist ,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/system-installation-specialist-german-speaking/5502000,2023-04-04
7,O365 Privacy/Compliance Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/o365-privacycompliance-engineer/5501000,2023-04-04
8,Security Architect,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/security-architect/5500000,2023-04-04
9,Software Engineer ,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/software-engineer-java-fintech/5499000,2023-04-04
10,Python Developer for Engineering...,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/python-developer-for-engineering-expert/5498000,2023-04-04
11,Frontend Software Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/frontend-software-engineer/5497000,2023-04-04
12,German speaking System Implement...,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/german-speaking-system-implementation-specialist-onsite/5496000,2023-04-04
13,IT specialist,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/it-specialist/5495000,2023-04-04
14,Test Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/test-engineer/5494000,2023-04-04
15,Értékesítési menedzser ,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/ertekesitesi-menedzser-itcrm-terulet/5493000,2023-04-04
16,Termékmenedzser ,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/termekmenedzser-berugyi-szoftver/5492000,2023-04-04
17,Function developer - transmission,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/function-developer-transmission/5491000,2023-04-04
18,English Speaking IT helpdesk,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/english-speaking-it-helpdesk/5490000,2023-04-04
19,Embedded Software Systems Test E...,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/embedded-software-systems-test-engineer/5489000,2023-04-04
20,Törzsadat kezelési szakértő,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/torzsadat-kezelesi-szakerto/5488000,2023-04-04
21,Junior IT Business Analyst and D...,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/junior-it-business-analyst-and-devops-engineer/5503000,2023-04-04
22,Medical Innovation Manager,Budapest,starjobs,https://itpeople.hu/allasok/budapest/medical-innovation-manager/5454000,2023-04-04
