ID,Main,Location,Corporation,Salary,Href,Date
0,Špecialista digitálnych produktov (aplikácia) m/ž,"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 1 900 EUR/mesiac,pracovna-ponuka/1333363/specialista-digitalnych-produktov-aplikacia-m-z,2023-04-06
1,Projektový manažér n. o. RMHC,"Slovenská republika, Bratislava",McDonald's, 1 500 EUR/mesiac,pracovna-ponuka/1332965/projektovy-manazer-n-o-rmhc,2023-04-06
2,Databázový špecialista - migrácie (TPP/ živnosť a s možnosťou práce full remote) (Ref. č.: 1-16-41361),Bratislava,Grafton Slovakia s.r.o., 2 100 EUR/mesiac,pracovna-ponuka/1316924/databazovy-specialista-migracie-tpp-zivnost-a-s-moznostou-prace-full-remote-ref-c-1-16-41361-,2023-04-06
3,Java developer - TPP/živnosť & REMOTE (Ref. č.: 1-16-41374),Bratislava,Grafton Slovakia s.r.o., 1 900 EUR/mesiac,pracovna-ponuka/1311803/java-developer-tpp-zivnost-remote-ref-c-1-16-41374-,2023-04-06
4,Spracovateľ študijných podkladov pre VŠ práce,"Práca z domu, Košický kraj, Bratislava, Trnava, Banská Bystrica, Košice, Prešov, Žilina, Nitra, Trenčín",Ellmer s.r.o., 500 EUR/mesiac,pracovna-ponuka/1137553/spracovatel-studijnych-podkladov-pre-vs-prace,2023-04-06
5,Java backend senior developer ( softvérový architekt),Bratislava,TechRD solutions s.r.o., 1 087 EUR/mesiac,pracovna-ponuka/1327817/java-backend-senior-developer-softverovy-architekt-,2023-04-06
6,Senior React Developer,Bratislava,"Boataround.com, a.s.", 3 300 EUR/mesiac,pracovna-ponuka/1327747/senior-react-developer,2023-04-06
7,Senior technik telekomunikačných služieb a sietí (m/ž),"Slovenská republika, Košický kraj",Slovak Telekom, 1 200 EUR/mesiac,pracovna-ponuka/1326919/senior-technik-telekomunikacnych-sluzieb-a-sieti-m-z-,2023-04-06
8,PLC programátor,"Čadca, Krásno nad Kysucou","MK Tech, s.r.o.", 1 050 EUR/mesiac,pracovna-ponuka/1333349/plc-programator,2023-04-06
9,Fullstack developer (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 800 EUR/mesiac,pracovna-ponuka/1307115/fullstack-developer-m-z-,2023-04-06
10,Java Developer (banking sector) (Ref. č.: 1-16-39481),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1301653/java-developer-banking-sector-ref-c-1-16-39481-,2023-04-06
11,JAVA Developer  (m/f),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 500 EUR/mesiac,pracovna-ponuka/1306807/java-developer-m-f-,2023-04-06
12,Java Developer pre Digital IT (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 000 EUR/mesiac,pracovna-ponuka/1119087/java-developer-pre-digital-it-m-z-,2023-04-06
