ID,Main,Location,Corporation,Salary,Href,Date
0,Solution Architect,"Mlynské nivy 12, Bratislava, Slovakia (Job with occasional home office)",Swiss Re,3 200 EUR/mesiac,/praca/swiss-re/O4554076,2023-04-07
1,Prototype Lab Lead,"Mlynské nivy 12, Bratislava, Slovakia (Job with occasional home office)",Swiss Re,3 200 EUR/mesiac,/praca/swiss-re/O4554075,2023-04-07
2,Senior PHP programátor/ka pre web Profesia.sk,"Pribinova 19, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Profesia, spol. s r.o.",2 800 EUR/mesiac,/praca/profesia/O4514880,2023-04-07
3,Web developer medior/senior,"Tematínska, Petržalka, Slovensko, Bratislava (Pozícia umožňuje občasnú prácu z domu)","INFOTECH, s.r.o.",3 200 EUR/mesiac,/praca/infotech/O4554046,2023-04-07
4,Web developer junior,"Tematínska, Petržalka, Slovensko, Bratislava (Pozícia umožňuje občasnú prácu z domu)","INFOTECH, s.r.o.",1 800 EUR/mesiac,/praca/infotech/O4554042,2023-04-07
5,Hľadáme EMBEDDED developerov (ingeligentné budovy)-pre lídra na trhu,"práca umožnuje prevažne homeoffice, Bratislavský kraj","Manuvia, a. s.",2 000 - 4 500 EUR/mesiac,/praca/manuvia/O4553999,2023-04-07
6,Senior JAVA backend developer,Práca z domu,"UNIQA Group Service Center Slovakia, spol. s r.o.",2 300 EUR/mesiac,/praca/uniqa-group-service-center-slovakia/O4473977,2023-04-07
7,Senior Verification Engineer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)","ON Semiconductor Slovakia, a.s.",3 500 EUR/mesiac,/praca/on-semiconductor-slovakia/O4500289,2023-04-07
8,Verification Engineer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)","ON Semiconductor Slovakia, a.s.",2 000 EUR/mesiac,/praca/on-semiconductor-slovakia/O4500288,2023-04-07
9,Experienced ServiceNow Consultant / Developer (permanent home office possible),"Bratislava, Slovakia (Job with occasional home office)","Accenture, s.r.o.",2 800 - 4 300 EUR/mesiac,/praca/accenture/O4441505,2023-04-07
10,Medior Java Developer,Remote work,"Accenture, s.r.o.",2 000 - 3 000 EUR/mesiac,/praca/accenture/O4072671,2023-04-07
11,Senior SAP Consultant,"Bratislava, Slovakia (Job with occasional home office)","Accenture, s.r.o.",2 800 - 4 300 EUR/mesiac,/praca/accenture/O4159840,2023-04-07
12,Mid/Senior Full Stack Developer,"Lamačská cesta, 841 01 Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,1 900 EUR/mesiac,/praca/siemens-slovensko/O4002541,2023-04-07
13,Senior PHP vyvojár (4000 - 5000+ €),"Senec, Slovensko (Pozícia umožňuje občasnú prácu z domu)",ARIVA GROUP s.r.o.,4 000 - 5 000 EUR/mesiac,/praca/ariva-group/O4553862,2023-04-07
14,IOS developer (4000 - 5200+ €),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",ARIVA GROUP s.r.o.,4 000 - 5 200 EUR/mesiac,/praca/ariva-group/O4553859,2023-04-07
15,C/C++ Developer Air Traffic Management,Práca z domu,FREQUENTIS Solutions & Services s. r. o.,2 000 EUR/mesiac,/praca/frequentis-solutions-services/O4398186,2023-04-07
16,Manual Senior Software Tester [Ref:1098],Práca z domu,"APM Digital Solutions, s.r.o.",3 500 - 4 200 EUR/mesiac,/praca/apm-digital-solutions/O4553831,2023-04-07
17,Java Spring-boot Developer [Ref:1099],"Viedeň, Rakúsko (Pozícia umožňuje občasnú prácu z domu)","APM Digital Solutions, s.r.o.",5 500 - 6 400 EUR/mesiac,/praca/apm-digital-solutions/O4553805,2023-04-07
