ID,Main,Location,Corporation,Href,Date
0,Rendszergazda,2541 Lábatlan,Sofidel Hungary Kft.,https://www.profession.hu/allas/rendszergazda-sofidel-hungary-kft-labatlan-2137137?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
1,Identity Management Senior Consultant,Budapest,Deloitte Zrt.,https://www.profession.hu/allas/identity-management-senior-consultant-deloitte-zrt-2137063?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
2,Senior data engineer,"1095 Budapest, Lechner Ödön fasor 9.",K&H BANK ZRT. (ICT),https://www.profession.hu/allas/senior-data-engineer-k-h-bank-zrt-ict-budapest-2137092?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
3,Project Coordinator,"3397, Maklár Havasi László utca",Bosch Group,https://www.profession.hu/allas/project-coordinator-bosch-group-maklar-2137080?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
4,Teszt menedzsment vezető,Budapest,Raiffeisen Bank Zrt.,https://www.profession.hu/allas/teszt-menedzsment-vezeto-raiffeisen-bank-zrt-budapest-2136967?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
5,Junior SAP FI alkalmazás támogató és folyamatfejlesztő,Budapest,EURONICS – Vöröskő Kft.,https://www.profession.hu/allas/junior-sap-fi-alkalmazas-tamogato-es-folyamatfejleszto-euronics-vorosko-kft-2136516?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
6,Belső üzleti rendszer konzulens,Dunakeszi,BA-HA-MA'S Kft.,https://www.profession.hu/allas/belso-uzleti-rendszer-konzulens-ba-ha-ma-s-kft-dunakeszi-2136638?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
7,Master Data Management Analyst Trainee,Budapest,CHINOIN ZRT. / SANOFI SBS,https://www.profession.hu/allas/master-data-management-analyst-trainee-chinoin-zrt-sanofi-sbs-2136327?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
8,Solution Architect - Digitális Innováció területre,"1095 Budapest, Lechner Ödön fasor 9.",K&H Bank Zrt.,https://www.profession.hu/allas/solution-architect-digitalis-innovacio-teruletre-k-h-bank-zrt-budapest-2136700/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
9,Software Architect - Mobil alkalmazás fejlesztés,"1095 Budapest, Lechner Ödön fasor 9.",K&H Bank Zrt.,https://www.profession.hu/allas/software-architect-mobil-alkalmazas-fejlesztes-k-h-bank-zrt-budapest-2136699/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
10,Számlavezetés rendszerszervező,"1095 Budapest, Lechner Ödön fasor 9.",K&H BANK ZRT. (ICT),https://www.profession.hu/allas/szamlavezetes-rendszerszervezo-k-h-bank-zrt-ict-budapest-2136697/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
11,Dynamics 365 Sales/CRM fejlesztő,Budapest,New Wave Service Kft.,https://www.profession.hu/allas/dynamics-sales-crm-fejleszto-new-wave-service-kft-2136313/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
12,Information Security Expert and Deputy ISO - Dynamic Components,Jászfényszaru,thyssenkrupp Components Technology Hungary Kft.,https://www.profession.hu/allas/information-security-expert-and-deputy-iso-dynamic-components-thyssenkrupp-components-technology-hungary-kft-jaszfenyszaru-2136688?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
13,Data Scientist,Budapest,Vodafone Magyarország Zrt.,https://www.profession.hu/allas/data-scientist-vodafone-magyarorszag-zrt-2136490?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
14,Access Support Specialist – Junior - Német és Angol nyelvtudással (REF1630Z),"Szeged, Hungary",Deutsche Telekom IT Solutions,https://www.profession.hu/allas/access-support-specialist-junior-nemet-es-angol-nyelvtudassal-ref-z-deutsche-telekom-it-solutions-szeged-2136496?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
15,Senior Product Data Technician,Székesfehérvár,Grundfos Magyarország Gyártó Kft.,https://www.profession.hu/allas/senior-product-data-technician-grundfos-magyarorszag-gyarto-kft-szekesfehervar-2136461?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
16,Mobile Voice Core Network Expert,Budapest,Vodafone Magyarország Zrt.,https://www.profession.hu/allas/mobile-voice-core-network-expert-vodafone-magyarorszag-zrt-2136402?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
17,German Speaking Service Desk Agent,Budapest,KUKA Robotics Hungária Kft.,https://www.profession.hu/allas/german-speaking-service-desk-agent-kuka-robotics-hungaria-kft-2136358?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-04
