ID,Main,Location,Corporation,Href,Date
0,IT rendszertámogató specialista,Üllő,Oriflame Hungary Kft.,https://www.profession.hu/allas/it-rendszertamogato-specialista-oriflame-hungary-kft-ullo-2153619?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
1,Manuális tesztelő,1025 Budapest,CARDINAL Számítástechnikai Kft.,https://www.profession.hu/allas/manualis-tesztelo-cardinal-szamitastechnikai-kft-budapest-2153937?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
2,Electra Alkalmazás támogató (2nd level),1025 Budapest,CARDINAL Számítástechnikai Kft.,https://www.profession.hu/allas/electra-alkalmazas-tamogato-nd-level-cardinal-szamitastechnikai-kft-budapest-2153921?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
3,Rendszergazda,"Pilisborosjenő, Debrecen, Budaörs",PRENET-ING KFT.,https://www.profession.hu/allas/rendszergazda-prenet-ing-kft-2153650?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
4,Szervízvezető-helyettes,Csongrád-Csanád megye,G & G KFT,https://www.profession.hu/allas/szervizvezeto-helyettes-g-amp-g-kft-2153828?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
5,Adattárház rendszerszervező,Budapest,Szerencsejáték Zrt.,https://www.profession.hu/allas/adattarhaz-rendszerszervezo-szerencsejatek-zrt-2153780?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
6,Application Tech Lead,Budapest,NNG Kft.,https://www.profession.hu/allas/application-tech-lead-nng-kft-2153104?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
7,Adatbázis Fejlesztő,"Budapest, V. kerület",Profession Services,https://www.profession.hu/allas/adatbazis-fejleszto-profession-services-budapest-2153754/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
8,Full-Stack Fejlesztő,Budapest V. kerület,Profession Services,https://www.profession.hu/allas/full-stack-fejleszto-profession-services-budapest-2153720/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
9,Beágyazott sw fejlesztő,"1097 Budapest, Illatos út 11b.",GAMMA ZRt.,https://www.profession.hu/allas/beagyazott-sw-fejleszto-gamma-zrt-budapest-2153750?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
10,Technical leader,Budapest,CEVA-Phylaxia Oltóanyagtermelő Zrt. (Ceva Sante Animale),https://www.profession.hu/allas/technical-leader-ceva-phylaxia-oltoanyagtermelo-zrt-ceva-sante-animale-2153701?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
11,Service desk agent (Italian speaking),"Budapest, IX. kerület",Cognizant Technology Solutions Hungary Kft.,https://www.profession.hu/allas/service-desk-agent-italian-speaking-cognizant-technology-solutions-hungary-kft-budapest-2153709/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
12,Üzleti folyamat támogató területi referens (PM MODUL),Debrecen,OPTESZ OPUS Energetikai Támogató Zártkörűen Működő Részvénytársaság,https://www.profession.hu/allas/uzleti-folyamat-tamogato-teruleti-referens-pm-modul-optesz-opus-energetikai-tamogato-zartkoruen-mukodo-reszvenytarsasag-debrecen-2153704?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
