ID,Main,Location,Corporation,Href,Date
0,Junior Managers Program – Information Technology – Traineeprogramm (f/m/div.),Gerlingen-Schillerhöhe,Bosch Gruppe,https://www.stepstone.de/jobs--Junior-Managers-Program-Information-Technology-Traineeprogramm-f-m-div-Gerlingen-Schillerhohe-Bosch-Gruppe--4993315-inline.html,2023-04-04
1,IT Support | Service Desk Specialist (m/f/d),München,Cataneo GmbH,https://www.stepstone.de/jobs--IT-Support-Service-Desk-Specialist-m-f-d-Munchen-Cataneo-GmbH--9397826-inline.html,2023-04-04
2,Junior IT Specialist (m/f/d) Global IT Infrastructure,Hamburg,Kühne + Nagel (AG & Co.) KG,https://www.stepstone.de/jobs--Junior-IT-Specialist-m-f-d-Global-IT-Infrastructure-Hamburg-Kuhne-Nagel-AG-Co-KG--9286256-inline.html,2023-04-04
3,IT Systems Engineer (d/f/m),Manching bei München,Airbus Group,https://www.stepstone.de/jobs--IT-Systems-Engineer-d-f-m-Manching-bei-Munchen-Airbus-Group--9343706-inline.html,2023-04-04
4,IT Networkadministrator (m/w/d),Weßling,Dornier Seawings GmbH,https://www.stepstone.de/jobs--IT-Networkadministrator-m-w-d-Wessling-Dornier-Seawings-GmbH--9391953-inline.html,2023-04-04
5,IT Service Manager (m/f/d),München,TSCNET Services GmbH,https://www.stepstone.de/jobs--IT-Service-Manager-m-f-d-Munchen-TSCNET-Services-GmbH--9390592-inline.html,2023-04-04
6,IT Warehouse Support Specialist (m/w/d),Giengen,Tesla,https://www.stepstone.de/jobs--IT-Warehouse-Support-Specialist-m-w-d-Giengen-Tesla--9384633-inline.html,2023-04-04
7,Senior IT Engineer Network (m/w/diverse),Hannover,Continental AG,https://www.stepstone.de/jobs--Senior-IT-Engineer-Network-m-w-diverse-Hannover-Continental-AG--9385815-inline.html,2023-04-04
8,Administrator IT Network (m/w/d),Herzogenaurach,PUMA SE,https://www.stepstone.de/jobs--Administrator-IT-Network-m-w-d-Herzogenaurach-PUMA-SE--9335799-inline.html,2023-04-04
9,WORKING STUDENT IT SUPPORT (F/M/X),"Home Office or Berlin, Germany",Tourlane GmbH,https://www.stepstone.de/jobs--WORKING-STUDENT-IT-SUPPORT-F-M-X-Home-Office-or-Berlin-Germany-Tourlane-GmbH--9240253-inline.html,2023-04-04
10,Trainee* IT / Global Tech,Hamburg,"Joh. Berenberg, Gossler & Co. KG",https://www.stepstone.de/jobs--Trainee-IT-Global-Tech-Hamburg-Joh-Berenberg-Gossler-Co-KG--9388629-inline.html,2023-04-04
11,IT Security Engineer (M/F/D),München,Brainlab,https://www.stepstone.de/jobs--IT-Security-Engineer-M-F-D-Munchen-Brainlab--9385966-inline.html,2023-04-04
12,IT System Engineer (f/m/d),München,Travian Games GmbH,https://www.stepstone.de/jobs--IT-System-Engineer-f-m-d-Munchen-Travian-Games-GmbH--9378220-inline.html,2023-04-04
13,IT Design Expert - Decentral Ordering (w/m/x),München,BMW Group,https://www.stepstone.de/jobs--IT-Design-Expert-Decentral-Ordering-w-m-x-Munchen-BMW-Group--9383253-inline.html,2023-04-04
14,IT system engineer (m/w/d),"Ratingen, Emmering",TOI TOI & DIXI Group GmbH,https://www.stepstone.de/jobs--IT-system-engineer-m-w-d-Ratingen-Emmering-TOI-TOI-DIXI-Group-GmbH--9134347-inline.html,2023-04-04
15,(Senior) Production IT Engineer*,Mainz,SCHOTT Pharma AG & Co. KGaA,https://www.stepstone.de/jobs--Senior-Production-IT-Engineer-Mainz-SCHOTT-Pharma-AG-Co-KGaA--9378598-inline.html,2023-04-04
16,IT-Administrator Space (m/f/d),Friedrichshafen,FERCHAU GmbH,https://www.stepstone.de/jobs--IT-Administrator-Space-m-f-d-Friedrichshafen-FERCHAU-GmbH--9069821-inline.html,2023-04-04
17,IT Infrastructure Manager (d/f/m),Manching bei München,Airbus Group,https://www.stepstone.de/jobs--IT-Infrastructure-Manager-d-f-m-Manching-bei-Munchen-Airbus-Group--9202705-inline.html,2023-04-04
18,IT Architect Dealer Frontends (f/m/x),München,BMW Group,https://www.stepstone.de/jobs--IT-Architect-Dealer-Frontends-f-m-x-Munchen-BMW-Group--8811282-inline.html,2023-04-04
19,IT Security Engineer (d/m/f),Manching bei München,Airbus Group,https://www.stepstone.de/jobs--IT-Security-Engineer-d-m-f-Manching-bei-Munchen-Airbus-Group--8952800-inline.html,2023-04-04
20,IT Workplace Service Manager (m/f/d),München,MSD Sharp & Dohme GmbH,https://www.stepstone.de/jobs--IT-Workplace-Service-Manager-m-f-d-Munchen-MSD-Sharp-Dohme-GmbH--9378248-inline.html,2023-04-04
21,IT Application Architect and Consultant Product Engineering (f/m/div.),Stuttgart,Bosch Gruppe,https://www.stepstone.de/jobs--IT-Application-Architect-and-Consultant-Product-Engineering-f-m-div-Stuttgart-Bosch-Gruppe--8347436-inline.html,2023-04-04
22,IT- Application Specialist (m/w/x),Oberkochen (Baden-Württemberg),ZEISS,https://www.stepstone.de/jobs--IT-Application-Specialist-m-w-x-Oberkochen-Baden-Wurttemberg-ZEISS--8391897-inline.html,2023-04-04
23,IT Senior Change Management & Communication Manager (m/f/d),Ismaning,Unsere Grüne Glasfaser GmbH & Co. KG,https://www.stepstone.de/jobs--IT-Senior-Change-Management-Communication-Manager-m-f-d-Ismaning-Unsere-Grune-Glasfaser-GmbH-Co-KG--9347897-inline.html,2023-04-04
24,(Senior) IT Inhouse Consultant SAP SD / CX (f/m/d),Weinheim,Freudenberg Home and Cleaning Solutions GmbH,https://www.stepstone.de/jobs--Senior-IT-Inhouse-Consultant-SAP-SD-CX-f-m-d-Weinheim-Freudenberg-Home-and-Cleaning-Solutions-GmbH--9396945-inline.html,2023-04-04
25,Junior Managers Program – Information Technology – Traineeprogramm (f/m/div.),Gerlingen-Schillerhöhe,Bosch Gruppe,https://www.stepstone.de/jobs--Junior-Managers-Program-Information-Technology-Traineeprogramm-f-m-div-Gerlingen-Schillerhohe-Bosch-Gruppe--4993315-inline.html,2023-04-04
26,IT Support | Service Desk Specialist (m/f/d),München,Cataneo GmbH,https://www.stepstone.de/jobs--IT-Support-Service-Desk-Specialist-m-f-d-Munchen-Cataneo-GmbH--9397826-inline.html,2023-04-04
27,Junior IT Specialist (m/f/d) Global IT Infrastructure,Hamburg,Kühne + Nagel (AG & Co.) KG,https://www.stepstone.de/jobs--Junior-IT-Specialist-m-f-d-Global-IT-Infrastructure-Hamburg-Kuhne-Nagel-AG-Co-KG--9286256-inline.html,2023-04-04
28,IT Systems Engineer (d/f/m),Manching bei München,Airbus Group,https://www.stepstone.de/jobs--IT-Systems-Engineer-d-f-m-Manching-bei-Munchen-Airbus-Group--9343706-inline.html,2023-04-04
29,IT Networkadministrator (m/w/d),Weßling,Dornier Seawings GmbH,https://www.stepstone.de/jobs--IT-Networkadministrator-m-w-d-Wessling-Dornier-Seawings-GmbH--9391953-inline.html,2023-04-04
30,IT Service Manager (m/f/d),München,TSCNET Services GmbH,https://www.stepstone.de/jobs--IT-Service-Manager-m-f-d-Munchen-TSCNET-Services-GmbH--9390592-inline.html,2023-04-04
31,IT Warehouse Support Specialist (m/w/d),Giengen,Tesla,https://www.stepstone.de/jobs--IT-Warehouse-Support-Specialist-m-w-d-Giengen-Tesla--9384633-inline.html,2023-04-04
32,Senior IT Engineer Network (m/w/diverse),Hannover,Continental AG,https://www.stepstone.de/jobs--Senior-IT-Engineer-Network-m-w-diverse-Hannover-Continental-AG--9385815-inline.html,2023-04-04
33,Administrator IT Network (m/w/d),Herzogenaurach,PUMA SE,https://www.stepstone.de/jobs--Administrator-IT-Network-m-w-d-Herzogenaurach-PUMA-SE--9335799-inline.html,2023-04-04
34,WORKING STUDENT IT SUPPORT (F/M/X),"Home Office or Berlin, Germany",Tourlane GmbH,https://www.stepstone.de/jobs--WORKING-STUDENT-IT-SUPPORT-F-M-X-Home-Office-or-Berlin-Germany-Tourlane-GmbH--9240253-inline.html,2023-04-04
35,Trainee* IT / Global Tech,Hamburg,"Joh. Berenberg, Gossler & Co. KG",https://www.stepstone.de/jobs--Trainee-IT-Global-Tech-Hamburg-Joh-Berenberg-Gossler-Co-KG--9388629-inline.html,2023-04-04
36,IT Security Engineer (M/F/D),München,Brainlab,https://www.stepstone.de/jobs--IT-Security-Engineer-M-F-D-Munchen-Brainlab--9385966-inline.html,2023-04-04
37,IT System Engineer (f/m/d),München,Travian Games GmbH,https://www.stepstone.de/jobs--IT-System-Engineer-f-m-d-Munchen-Travian-Games-GmbH--9378220-inline.html,2023-04-04
38,IT Design Expert - Decentral Ordering (w/m/x),München,BMW Group,https://www.stepstone.de/jobs--IT-Design-Expert-Decentral-Ordering-w-m-x-Munchen-BMW-Group--9383253-inline.html,2023-04-04
39,IT system engineer (m/w/d),"Ratingen, Emmering",TOI TOI & DIXI Group GmbH,https://www.stepstone.de/jobs--IT-system-engineer-m-w-d-Ratingen-Emmering-TOI-TOI-DIXI-Group-GmbH--9134347-inline.html,2023-04-04
40,(Senior) Production IT Engineer*,Mainz,SCHOTT Pharma AG & Co. KGaA,https://www.stepstone.de/jobs--Senior-Production-IT-Engineer-Mainz-SCHOTT-Pharma-AG-Co-KGaA--9378598-inline.html,2023-04-04
41,IT-Administrator Space (m/f/d),Friedrichshafen,FERCHAU GmbH,https://www.stepstone.de/jobs--IT-Administrator-Space-m-f-d-Friedrichshafen-FERCHAU-GmbH--9069821-inline.html,2023-04-04
42,IT Infrastructure Manager (d/f/m),Manching bei München,Airbus Group,https://www.stepstone.de/jobs--IT-Infrastructure-Manager-d-f-m-Manching-bei-Munchen-Airbus-Group--9202705-inline.html,2023-04-04
43,IT Architect Dealer Frontends (f/m/x),München,BMW Group,https://www.stepstone.de/jobs--IT-Architect-Dealer-Frontends-f-m-x-Munchen-BMW-Group--8811282-inline.html,2023-04-04
