ID,Main,Location,Corporation,Href,Date
0,SENIOR SOFTWARE ENGINEER,,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/senior-software-engineer-1257355,2023-02-27
1,SENIOR RENDSZERMÉRNÖK,Budapest,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/senior-rendszermernok-1257357,2023-02-27
2,JUNIOR RENDSZERMÉRNÖK,Budapest,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/junior-rendszermernok-1257358,2023-02-27
3,SAP TANÁCSADÓ ÉS FEJLESZTŐ,Baranya,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/sapr-tanacsado-es-fejleszto-1167675,2023-02-27
4,SENIOR SAP ABAP FEJLESZTŐ,Baranya,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/senior-sap-abap-fejleszto-1184653,2023-02-27
5,SENIOR .NET FEJLESZTŐ,Pest,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/senior-net-fejleszto-1220520,2023-02-27
6,Informatikus / IT Officer - Polgárdi,"Polgárdi, 8154 Magyarország",Man at Work Humánszolgáltató és Személyzeti Tanácsadó Kft.,https://www.cvonline.hu/hu/allas/informatikus-it-officer-polgardi-1239879,2023-02-27
7,French speaking Customer Service Specialist,"Budapest, Pest",Vision Recruitment Kft.,https://www.cvonline.hu/hu/standard/allas/french-speaking-customer-service-specialist-1254466,2023-02-27
8,GYENGEÁRAMÚ HÁLÓZATTELEPITŐ KOLLÉGA,Budapest,VÉGH KÁLMÁN ANDRÁS Egyéni Vállalkozó,https://www.cvonline.hu/hu/standard/allas/gyengearamu-halozattelepito-kollega-1247043,2023-02-27
9,Server and Network Management team leader,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/server-and-network-management-team-leader-1215242,2023-02-27
10,Intermediate License Management Analyst,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-it-asset-management-analyst-1171020,2023-02-27
11,SAP SD Consultant (remote/hybrid),Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/sap-sd-consultant-remote-hybrid-1250780,2023-02-27
12,SAP SD Consultant (hybrid/remote),Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/sap-sd-consultant-hybrid-remote-1250781,2023-02-27
13,Projektmérnök,"Tatabánya, 2800 Magyarország",Hire-One Kft.,https://www.cvonline.hu/hu/allas/projektmernok-1203816,2023-02-27
14,Flutter Developer - junior/medior/senior,Budapest,PBS International Kft.,https://www.cvonline.hu/hu/allas/frontend-developer-junior-medior-senior-flutter-advantage-opportunity-learn-flutter-1222864,2023-02-27
15,Senior Machine Learning Engineer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/machine-learning-engineer-1191659,2023-02-27
16,Software Project Manager - Motorcycle,Veszprém,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/software-project-manager-motorcycle-1257192,2023-02-27
17,Medior Linux Rendszergazda,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/medior-linux-rendszergazda-1177879,2023-02-27
18,Junior Golang Developer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/junior-golang-developer-1201530,2023-02-27
19,Junior PHP Developer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/junior-php-developer-1206049,2023-02-27
20,Szoftver teszt tervező (Biatorbágy régió),"Biatorbágy, 2051 Magyarország",Hire-One Kft.,https://www.cvonline.hu/hu/allas/szoftver-teszt-tervezo-budaors-regio-1257184,2023-02-27
21,Senior Automation Developer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-automation-developer-1260169,2023-02-27
22,Kiemelt        Épületgépész tervező mérnök,"Budapest, Pest",Cvonline.hu ügyfél,https://www.cvonline.hu/hu/premium/allas/epuletgepesz-tervezo-mernok-1217728,2023-02-27
23,Test Engineer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/test-engineer-1215241,2023-02-27
24,SAP bázis üzemeltető,"Nádudvar, 4181 Magyarország, Hajdú-Bihar",Kite Zrt,https://www.cvonline.hu/hu/standard/allas/sap-bazis-uzemelteto-1250637,2023-02-27
25,BACKEND FEJLESZTŐ (C#),Budapest,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/backend-fejleszto-c-1247021,2023-02-27
26,Kiemelt        Gyengeáramú projektvezető(Nyíregyháza),"Nyíregyháza, Szabolcs-Szatmár-Bereg",CRITERION Biztonságtechnikai Zrt.,https://www.cvonline.hu/hu/premium/allas/gyengearamu-projektvezeto-nyiregyhaza-1254231,2023-02-27
27,FRENCH IT SERVICE DESK ANALYST,"Budapest, Pest",Vision Recruitment Kft.,https://www.cvonline.hu/hu/standard/allas/french-it-service-desk-analyst-1250590,2023-02-27
28,GERMAN SPEAKING SERVICE DESK AGENT,"Budapest, Pest",Vision Recruitment Kft.,https://www.cvonline.hu/hu/standard/allas/german-speaking-service-desk-agent-1250593,2023-02-27
29,BACKEND FEJLESZTŐ,Baranya,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/backend-fejleszto-1236146,2023-02-27
30,FRONTEND FEJLESZTŐ,Baranya,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/frontend-fejleszto-1236147,2023-02-27
31,Kiemelt        Lean szakértő,"Nyíregyháza, Szabolcs-Szatmár-Bereg",HÜBNER-H Gumi- és Műanyagipari Kft.,https://www.cvonline.hu/hu/premium/allas/lean-szakerto-1255973,2023-02-27
32,Senior JAVA Developer,Budapest,HSA Kft.,https://www.cvonline.hu/hu/allas/senior-java-developer-1207095,2023-02-27
33,IT operation administrator,"Jászfényszaru, 5126 Magyarország",HSA Kft.,https://www.cvonline.hu/hu/allas/it-operation-administrator-1097030,2023-02-27
34,IT Operations Engineer,"Jászfényszaru, 5126 Magyarország",HSA Kft.,https://www.cvonline.hu/hu/allas/it-operations-engineer-1097032,2023-02-27
35,ERP Developer,Debrecen,HSA Kft.,https://www.cvonline.hu/hu/allas/erp-developer-1014990,2023-02-27
36,Rendszermérnök,Veszprém,Work Force Kft.,https://www.cvonline.hu/hu/allas/rendszermernok-1222827,2023-02-27
37,Tesztmérnök_N,"Üllő, 2225 Magyarország",Work Force Kft.,https://www.cvonline.hu/hu/allas/tesztmernok-n-1222839,2023-02-27
38,Scrum Master,Budapest,Work Force Kft.,https://www.cvonline.hu/hu/allas/scrum-master-1222841,2023-02-27
39,Research and Development Project Manager,Veszprém,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/research-and-development-project-manager-1260170,2023-02-27
40,Vulnerability Management Specialist,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/vulnerability-management-specialist-1222432,2023-02-27
41,Test Engineer - Tatabánya,"Tatabánya, 2800 Magyarország",T-HR Kft.,https://www.cvonline.hu/hu/allas/test-engineer-tatabanya-1219859,2023-02-27
42,"TESZTRENDSZERFEJLESZTÉSI CSOPORTVEZETŐ (PROJEKTVEZETÉS, TESZTRENDSZEREK, ANGOL)",Veszprém,IMPC Personnel Hungária Kft.,https://www.cvonline.hu/hu/allas/tesztrendszerfejlesztesi-csoportvezeto-projektvezetes-tesztrendszerek-angol-1145039,2023-02-27
43,Senior Java Engineer,Budapest,RecruIT Kft.,https://www.cvonline.hu/hu/allas/senior-java-engineer-1041681,2023-02-27
44,Teszteszköz fejlesztő mérnök,Budapest,HSA Kft.,https://www.cvonline.hu/hu/allas/teszteszkoz-fejleszto-mernok-1209779,2023-02-27
45,IT specialist,Debrecen,HSA Kft.,https://www.cvonline.hu/hu/allas/it-specialist-1196672,2023-02-27
46,Frontend Fejlesztő,Pécs,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/frontend-fejleszto-1171726,2023-02-27
47,IT Specialist,Tiszaújváros,HSA Kft.,https://www.cvonline.hu/hu/allas/it-specialist-1119557,2023-02-27
48,Rendszergazda,Tiszaújváros,HSA Kft.,https://www.cvonline.hu/hu/allas/rendszergazda-1201062,2023-02-27
49,Senior Software Engineer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-software-engineer-1100843,2023-02-27
50,Software engineer team lead,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/software-engineer-team-lead-1100844,2023-02-27
51,Cisco Data 2nd Line Engineer,Szeged,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/cisco-data-2nd-line-engineer-1225481,2023-02-27
52,Front-End Developer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/front-end-developer-1225484,2023-02-27
53,Cybersecurity Project Manager,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/cybersecurity-project-manager-1181127,2023-02-27
54,Senior Full-stack developer C#/Angular,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-full-stack-developer-c-angular-1219776,2023-02-27
55,Data Scientist,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/data-scientist-1219778,2023-02-27
56,SAP Key user MM/PP,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/sap-key-user-mm-pp-1176538,2023-02-27
