ID,Main,Location,Corporation,Href,Date
0,Full-stack developer ,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/full-stack-developer-nodejs/3187000,2023-02-28
1,Linux Fejlesztőmérnök,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/linux-fejlesztomernok/3186000,2023-02-28
2,Software Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/software-engineer/3184000,2023-02-28
3,SAP Application Developer,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/sap-application-developer/3081000,2023-02-28
4,Senior Software Development Engi...,Országos,Randstad Hungary,https://itpeople.hu/allasok/orszagos/senior-software-development-engineer/3079000,2023-02-28
5,Test Engineer,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/test-engineer/3078000,2023-02-28
6,Software Test Development Engineer,Veszprém megye,Randstad Hungary,https://itpeople.hu/allasok/veszprem/software-test-development-engineer/3077000,2023-02-28
7,Beágyazott szoftverfejlesztő mérnök,Veszprém megye,Randstad Hungary,https://itpeople.hu/allasok/veszprem/beagyazott-szoftverfejleszto-mernok/3076000,2023-02-28
8,Mobile Application Tester,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/mobile-application-tester/3075000,2023-02-28
9,IT termelés támogató,Országos,Trenkwalder Recruitment Kft,https://itpeople.hu/allasok/orszagos/it-termeles-tamogato/3074000,2023-02-28
10,Java Developer,Budapest,Trenkwalder Recruitment Kft,https://itpeople.hu/allasok/budapest/java-developer/3073000,2023-02-28
11,Senior JAVA Developer,Országos,"HSA Kft, ",https://itpeople.hu/allasok/orszagos/senior-java-developer/2972000,2023-02-28
12,IT Specialist,Országos,"HSA Kft, ",https://itpeople.hu/allasok/orszagos/it-specialist/2971000,2023-02-28
13,Junior programozó,Országos,"HSA Kft, ",https://itpeople.hu/allasok/orszagos/junior-programozo/2970000,2023-02-28
14,Junior Full Stack Developer,Országos,"HSA Kft, ",https://itpeople.hu/allasok/orszagos/junior-full-stack-developer/2969000,2023-02-28
15,Teszteszköz fejlesztő mérnök,Országos,"HSA Kft, ",https://itpeople.hu/allasok/orszagos/teszteszkoz-fejleszto-mernok/2968000,2023-02-28
16,ERP Developer,Országos,"HSA Kft, ",https://itpeople.hu/allasok/orszagos/erp-developer/2967000,2023-02-28
17,IT specialist,Országos,"HSA Kft, ",https://itpeople.hu/allasok/orszagos/it-specialist/2966000,2023-02-28
18,IT Operations Engineer ,Országos,"HSA Kft, ",https://itpeople.hu/allasok/orszagos/it-operations-engineer-/2965000,2023-02-28
19,IT operation administrator,Országos,"HSA Kft, ",https://itpeople.hu/allasok/orszagos/it-operation-administrator/2964000,2023-02-28
20,Mobile Application Tester,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/mobile-application-tester/2963000,2023-02-28
21,Szenior BI Szakértő,Budapest,Trenkwalder Recruitment Kft,https://itpeople.hu/allasok/budapest/szenior-bi-szakerto/2960000,2023-02-28
22,Senior Frontend Developer,Budapest,Trenkwalder Recruitment Kft,https://itpeople.hu/allasok/budapest/senior-frontend-developer/2961000,2023-02-28
23,Software Engineer – „IDAM-EHL-SE”,Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/software-engineer-–-„idam-ehl-se”/2946000,2023-02-28
24,Tesztautomatizáló / szoftvertesz...,Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/tesztautomatizaloszoftvertesztelo/2948000,2023-02-28
25,Beágyazott programozó,Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/beagyazott-programozo/2949000,2023-02-28
26,Sr. Staff Software Architect,Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/sr-staff-software-architect/2950000,2023-02-28
27,Python Developer,Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/python-developer/2951000,2023-02-28
28,"Software Engineer - ""EHL-AW""",Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/software-engineer-ehl-aw/2953000,2023-02-28
29,Data Engineer - OPJ,Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/data-engineer-opj/2954000,2023-02-28
30,Senior SW Developer: Full Stack ...,Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/senior-sw-developer:-full-stack-engineer/2955000,2023-02-28
31,IT - Systems Engineer,Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/it-systems-engineer/2957000,2023-02-28
32,Senior Data Scientist,Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/senior-data-scientist/2958000,2023-02-28
33,IT Architect ,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/it-architect-net/2938000,2023-02-28
34,Full Stack Developer,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/full-stack-developer/2940000,2023-02-28
35,Junior/Medior/Senior/Lead Szoftv...,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/juniormediorseniorlead-szoftver-tesztautomatizalo-mernok/2941000,2023-02-28
36,Java full-stack developer ,Országos,Randstad Hungary,https://itpeople.hu/allasok/orszagos/java-full-stack-developer-with-devops/2942000,2023-02-28
37,Diákmunka - IT infrastruktúra üz...,Budapest,Műisz Iskolaszövetkezet,https://itpeople.hu/allasok/budapest-xiii-kerulet/diakmunka-it-infrastruktura-uzemeltetojunior-rendszermernok/2937000,2023-02-28
38,Medior-senior rendszergazda,Országos,proonline.hu,https://itpeople.hu/allasok/magyarorszag/medior-senior-rendszergazda/2845000,2023-02-28
39,Java full-stack developer ,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/java-full-stack-developer-with-devops/2844000,2023-02-28
40,IT Gyakornok,Budapest,zyntern,https://itpeople.hu/allasok/budapest/it-gyakornok/2843000,2023-02-28
41,Java Developer,Országos,Randstad Hungary,https://itpeople.hu/allasok/orszagos/java-developer/2841000,2023-02-28
42,Medior Linux Rendszergazda,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/medior-linux-rendszergazda/2842000,2023-02-28
43,Törzsadat kezelési szakértő,Országos,Randstad Hungary,https://itpeople.hu/allasok/orszagos/torzsadat-kezelesi-szakerto/3062000,2023-02-28
44,Information Security Program Ana...,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/information-security-program-analyst/2734000,2023-02-28
45,Frontend Developer ,Országos,Randstad Hungary,https://itpeople.hu/allasok/orszagos/frontend-developer-react/2735000,2023-02-28
46,Software Project Manager - Motor...,Veszprém megye,Randstad Hungary,https://itpeople.hu/allasok/veszprem/software-project-manager-motorcycle/2738000,2023-02-28
47,szoftverfejlesztő mérnök,Országos,Randstad Hungary,https://itpeople.hu/allasok/orszagos/szoftverfejleszto-mernok/2739000,2023-02-28
48,Junior PHP Developer,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/junior-php-developer/2740000,2023-02-28
