Corporation,Main,Labels
R-Szoft Kft.,Szoftver Fejlesztő (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő
HVG Kiadó Zrt.,.Net fejlesztő (Budapest),"3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;távmunka, home office"
Best Hunters Tanácsadó Iroda,GYENGEÁRAMÚ HÁLÓZATTELEPITŐ (Budapest),pályakezdő /tapasztalat nélkül;1 - 2 év tapasztalat;beosztott;Középfokú végzettség;OKJ;teljes munkaidő
ELTE Kancellária Emberi Erőforrás Igazgatóság,Ügyféltámogató informatikus (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő
BKV Zrt.,Távközlési szakember (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő
BKV Zrt.,Távközlési végberendezés üzemeltető (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő
CompLOG MRC Kft.,Szoftver fejlesztő (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő
CompLOG MRC Kft.,IT support (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő
Uninet Stúdió Kft.,Rendszergazda - Rendszerüzemeltető (Győr),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő
Deutsche Telekom IT Solutions,Automation Tester (REF1033G) (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Cloud Application Operation (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Senior Security Consultant (REF1365Q) (Budapest),5+ év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Thyssenkrupp,Software Safety Engineer (Budapest),"1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,AWS Data Architect - REF339V (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,People Lead - Devops (REF1105J) (Budapest),"3 - 5 év tapasztalat;5+ év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
Deutsche Telekom IT Solutions,Developer (REF1307I) (Budapest),1 - 2 év tapasztalat;gyakornok;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Python Developer (REF260N) (Debrecen),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,Tapasztalt Frontend Fejlesztő (REF155V) (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő
Deutsche Telekom IT Solutions,Angular Developer (REF1400Z) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,DevOps Engineer ARD (TECHNIK HU/ VNI) (REF217J) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Operation Manager Agile (PowerPlatform) (REF1408G) (Budapest),1 - 2 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Deutsche Telekom IT Solutions,Head of Team (Open Telekom Cloud) - REF1229O (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Software engineer team lead (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,GCP (Google Cloud Platform) Consultant - REF142Z (Budapest),5+ év tapasztalat;beosztott;Középfokú végzettség;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Incident responder (cert) ref68o (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;német - középfokú;angol - középfokú
Deutsche Telekom IT Solutions,BSS Tester (REF1034E) (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Thyssenkrupp,Senior Software Engineer (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Service Delivery Manager (IT Security) (REF192G) (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;német - felsőfokú;angol - középfokú
Deutsche Telekom IT Solutions,"Management Support Consultant - Business Area, Private Cloud & Platform Services (m/w/d) (REF1439H) (Budapest)",1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
