ID,Main,Location,Corporation,Href,Date
0,IT Rendszeradminisztrátor,Bercel,NIDEC GPM HUNGARY Kft.,/allas/it_rendszeradminisztrator/RG-7041#adtype=dirOA,2023-02-13
1,.Net fejlesztő,Budapest,HVG Kiadó Zrt.,/allas/net_fejleszto/MO-6652#adtype=dirOA,2023-02-13
2,IT kontroller,Budapest,BKV Zrt.,/allas/it_kontroller/XQ-4102#adtype=dirCU,2023-02-13
3,FRANCIA NYELVŰ NEMZETKÖZI KAPCSOLATTARTÓ,Budapest,HumanField Kft.,/allas/francia_nyelvu_nemzetkozi_kapcsolattarto/VR-5906#adtype=indOA,2023-02-13
4,NÉMET NYELVŰ NEMZETKÖZI KAPCSOLATTARTÓ (16-2052),Budapest,HumanField Kft.,/allas/nemet_nyelvu_nemzetkozi_kapcsolattarto_16_2052/WA-5967#adtype=indOA,2023-02-13
5,PHP Developer,Budapest,NEMATECH Kft.,/allas/php_developer/IS-9847#adtype=dirOA,2023-02-13
6,SZOFTVER TÁMOGATÓ,Gödöllő,HumanField Kft.,/allas/szoftver_tamogato/SV-8474#adtype=indOA,2023-02-13
7,Szoftver Fejlesztő,Budapest,R-Szoft Kft.,/allas/szoftver_fejleszto/LA-4148#adtype=dirOA,2023-02-13
8,GYENGEÁRAMÚ HÁLÓZATTELEPITŐ,Budapest,Best Hunters Tanácsadó Iroda,/allas/gyengearamu_halozattelepito/HA-9138#adtype=indOA,2023-02-13
9,Ügyféltámogató informatikus,Budapest,ELTE Kancellária Emberi Erőforrás Igazgatóság,/allas/ugyfeltamogato_informatikus/TS-9605#adtype=dirOA,2023-02-13
10,Szoftver fejlesztő,Budapest,CompLOG MRC Kft.,/allas/szoftver_fejleszto/XG-7798#adtype=dirOA,2023-02-13
11,Rendszergazda - Rendszerüzemeltető,Győr,Uninet Stúdió Kft.,/allas/rendszergazda_rendszeruzemelteto/BA-2804#adtype=dirOA,2023-02-13
12,IT support,Budapest,CompLOG MRC Kft.,/allas/it_support/UC-6213#adtype=dirOA,2023-02-13
13,Automation Tester (REF1033G),Budapest,Deutsche Telekom IT Solutions,/allas/automation_tester_ref1033g/PM-6831#adtype=dirCU,2023-02-13
14,Senior Security Consultant (REF1365Q),Budapest,Deutsche Telekom IT Solutions,/allas/senior_security_consultant_ref1365q/LB-7358#adtype=dirCU,2023-02-13
15,Cloud Application Operation,Budapest,Deutsche Telekom IT Solutions,/allas/cloud_application_operation/BT-5755#adtype=dirCU,2023-02-13
16,Software Safety Engineer,Budapest,Thyssenkrupp,/allas/software_safety_engineer/CH-9990#adtype=dirCU,2023-02-13
17,Python Developer (REF260N),Debrecen,Deutsche Telekom IT Solutions,/allas/python_developer_ref260n/ML-7772#adtype=dirCU,2023-02-13
18,Developer (REF1307I),Budapest,Deutsche Telekom IT Solutions,/allas/developer_ref1307i/GK-8222#adtype=dirCU,2023-02-13
19,Tapasztalt Frontend Fejlesztő (REF155V),Budapest,Deutsche Telekom IT Solutions,/allas/tapasztalt_frontend_fejleszto_ref155v/WT-4527#adtype=dirCU,2023-02-13
20,People Lead - Devops (REF1105J),Budapest,Deutsche Telekom IT Solutions,/allas/people_lead_devops_ref1105j/YL-9534#adtype=dirCU,2023-02-13
21,AWS Data Architect - REF339V,Budapest,Deutsche Telekom IT Solutions,/allas/aws_data_architect_ref339v/SB-6335#adtype=dirCU,2023-02-13
22,DevOps Engineer ARD (TECHNIK HU/ VNI) (REF217J),Budapest,Deutsche Telekom IT Solutions,/allas/devops_engineer_ard_technik_hu_vni_ref217j/AC-0067#adtype=dirCU,2023-02-13
23,Operation Manager Agile (PowerPlatform) (REF1408G),Budapest,Deutsche Telekom IT Solutions,/allas/operation_manager_agile_powerplatform_ref1408g/YL-1464#adtype=dirCU,2023-02-13
24,Head of Team (Open Telekom Cloud) - REF1229O,Budapest,Deutsche Telekom IT Solutions,/allas/head_of_team_open_telekom_cloud_ref1229o/OB-6606#adtype=dirCU,2023-02-13
25,GCP (Google Cloud Platform) Consultant - REF142Z,Budapest,Deutsche Telekom IT Solutions,/allas/gcp_google_cloud_platform_consultant_ref142z/RR-2987#adtype=dirCU,2023-02-13
26,Incident responder (cert) ref68o,Budapest,Deutsche Telekom IT Solutions,/allas/incident_responder_cert_ref68o/QB-4952#adtype=dirCU,2023-02-13
27,Software engineer team lead,Budapest,Randstad Hungary Kft,/allas/software_engineer_team_lead/IG-8638#adtype=indCU,2023-02-13
28,BSS Tester (REF1034E),Budapest,Deutsche Telekom IT Solutions,/allas/bss_tester_ref1034e/JI-8435#adtype=dirCU,2023-02-13
29,Senior Software Engineer,Budapest,Thyssenkrupp,/allas/senior_software_engineer/FY-2042#adtype=dirCU,2023-02-13
30,Security Analyst (REF92A),Budapest,Deutsche Telekom IT Solutions,/allas/security_analyst_ref92a/IP-7970#adtype=dirCU,2023-02-13
31,"Management Support Consultant - Business Area, Private Cloud & Platform Services (m/w/d) (REF1439H)",Budapest,Deutsche Telekom IT Solutions,/allas/management_support_consultant_business_area_private_cloud_platform_services_mwd_ref1439h/RA-0946#adtype=dirCU,2023-02-13
32,Medior Backend fejlesztő német nyelvtudással (REF954Z),Budapest,Deutsche Telekom IT Solutions,/allas/medior_backend_fejleszto_nemet_nyelvtudassal_ref954z/BY-7611#adtype=dirCU,2023-02-13
33,Experienced IT Architect for Software Engineering (REF1435M),Budapest,Deutsche Telekom IT Solutions,/allas/experienced_it_architect_for_software_engineering_ref1435m/SX-2550#adtype=dirCU,2023-02-13
34,Szabályozástechnikai mérnök - Kutatás és előfejlesztés,Budapest,Thyssenkrupp,/allas/szabalyozastechnikai_mernok_kutatas_es_elofejlesztes/OM-3044#adtype=dirCU,2023-02-13
35,Szoftver projektvezető,Budapest,Thyssenkrupp,/allas/szoftver_projektvezeto/AC-4992#adtype=dirCU,2023-02-13
36,Applikációs funkciófejlesztő mérnök (MATLAB/Simulink),Budapest,Thyssenkrupp,/allas/applikacios_funkciofejleszto_mernok_matlabsimulink/XD-6392#adtype=dirCU,2023-02-13
37,Tapasztalt tesztelő német nyelvtudással (REF126D),Budapest,Deutsche Telekom IT Solutions,/allas/tapasztalt_tesztelo_nemet_nyelvtudassal_ref126d/DA-9574#adtype=dirCU,2023-02-13
38,Operation Manager (OPM) (REF902W),Budapest,Deutsche Telekom IT Solutions,/allas/operation_manager_opm_ref902w/ZZ-0953#adtype=dirCU,2023-02-13
39,Rendszerintegrációs mérnök,Budapest,Thyssenkrupp,/allas/rendszerintegracios_mernok/CN-7864#adtype=dirCU,2023-02-13
40,Technical Process Specialist (REF705I),Budapest,Deutsche Telekom IT Solutions,/allas/technical_process_specialist_ref705i/LQ-6193#adtype=dirCU,2023-02-13
41,Szoftver tesztautomatizáló mérnök (biztonságkritikus diagnosztika),Budapest,Thyssenkrupp,/allas/szoftver_tesztautomatizalo_mernok_biztonsagkritikus_diagnosztika/OR-3573#adtype=dirCU,2023-02-13
42,Hardverfejlesztő mérnök (Veszprém),Veszprém,Thyssenkrupp,/allas/hardverfejleszto_mernok_veszprem/LV-3234#adtype=dirCU,2023-02-13
43,Experienced/Senior Data Engineer (REF1343L),Budapest,Deutsche Telekom IT Solutions,/allas/experiencedsenior_data_engineer_ref1343l/OH-5190#adtype=dirCU,2023-02-13
44,Medior/Senior Test Automation Engineer,Budapest,Randstad Hungary Kft,/allas/mediorsenior_test_automation_engineer/EU-9428#adtype=indCU,2023-02-13
45,Senior Project Manager (REF1450G),Budapest,Deutsche Telekom IT Solutions,/allas/senior_project_manager_ref1450g/PC-2441#adtype=dirCU,2023-02-13
46,AWS Data Architect - REF339V,Budapest,Deutsche Telekom IT Solutions,/allas/aws_data_architect_ref339v/RK-2748#adtype=dirCU,2023-02-13
47,Szerver és hálózat rendszeradminisztrátor - Server and Network administrator,Budapest,Randstad Hungary Kft,/allas/szerver_es_halozat_rendszeradminisztrator_server_and_network_administrator/EN-7790#adtype=indCU,2023-02-13
48,Azure Platform Engineer (REF62K),Budapest,Deutsche Telekom IT Solutions,/allas/azure_platform_engineer_ref62k/HA-8707#adtype=dirCU,2023-02-13
49,Gyakornok - adminisztratív feladatok (REF1517G),Budapest,Deutsche Telekom IT Solutions,/allas/gyakornok_adminisztrativ_feladatok_ref1517g/MP-5296#adtype=dirCU,2023-02-13
50,Software Engineer on network field (REF223C),Budapest,Deutsche Telekom IT Solutions,/allas/software_engineer_on_network_field_ref223c/FU-3899#adtype=dirCU,2023-02-13
51,Service Now Developer (REF86R),Budapest,Deutsche Telekom IT Solutions,/allas/service_now_developer_ref86r/WB-9031#adtype=dirCU,2023-02-13
52,Operations Manager EDI (REF513Z),Budapest,Deutsche Telekom IT Solutions,/allas/operations_manager_edi_ref513z/XQ-0736#adtype=dirCU,2023-02-13
53,"HARDWARE MÉRNÖK - FEJLESZTÉS, GYÁRTÁSTÁMOGATÁS (Pályakezdők jelentkezését is várjuk!)",Veszprém,IMPC Personnel Hungária Kft.,/allas/hardware_mernok_fejlesztes_gyartastamogatas_palyakezdok_jelentkezeset_is_varjuk/ID-6617#adtype=indCU,2023-02-13
54,Experienced Fullstack Developer (REF1022I),Budapest,Deutsche Telekom IT Solutions,/allas/experienced_fullstack_developer_ref1022i/RO-7878#adtype=dirCU,2023-02-13
55,Software Engineer (Java/Microservices) (REF274B),Budapest,Deutsche Telekom IT Solutions,/allas/software_engineer_javamicroservices_ref274b/DH-4297#adtype=dirCU,2023-02-13
56,Azure Platform Engineer (REF62K),Budapest,Deutsche Telekom IT Solutions,/allas/azure_platform_engineer_ref62k/JE-2329#adtype=dirCU,2023-02-13
57,Senior Network Architect (Open Telekom Cloud) - REF482J,Budapest,Deutsche Telekom IT Solutions,/allas/senior_network_architect_open_telekom_cloud_ref482j/ZM-2565#adtype=dirCU,2023-02-13
58,Szoftverintegrációs mérnök (automatizáció),Budapest,Thyssenkrupp,/allas/szoftverintegracios_mernok_automatizacio/YB-4620#adtype=dirCU,2023-02-13
59,Németül beszélő Customer Service Specialist (REF1256T),Debrecen,Deutsche Telekom IT Solutions,/allas/nemetul_beszelo_customer_service_specialist_ref1256t/IY-6912#adtype=dirCU,2023-02-13
60,Cloud Portal Developer (Microsoft Azure) (REF730S),Budapest,Deutsche Telekom IT Solutions,/allas/cloud_portal_developer_microsoft_azure_ref730s/RT-8375#adtype=dirCU,2023-02-13
61,Szoftver tesztautomatizáló mérnök (Veszprém),Veszprém,Thyssenkrupp,/allas/szoftver_tesztautomatizalo_mernok_veszprem/FR-4302#adtype=dirCU,2023-02-13
62,Cloud Engineer (Azure),Budapest,Randstad Hungary Kft,/allas/cloud_engineer_azure/NE-6705#adtype=indCU,2023-02-13
63,COGNOS expert (REF1469X),Budapest,Deutsche Telekom IT Solutions,/allas/cognos_expert_ref1469x/WI-2075#adtype=dirCU,2023-02-13
