ID,Main,Location,Corporation,Salary,Href,Date
0,Salesforce Consultant,,IBM, 1 900 EUR/mesiac,pracovna-ponuka/1079227/salesforce-consultant,2023-03-04
1, IT trainee (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom,0 EUR/h,pracovna-ponuka/1327505/it-trainee-m-z-,2023-03-04
2,Python developer (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 000 EUR/mesiac,pracovna-ponuka/1321657/python-developer-m-z-,2023-03-04
3,Experienced Data Engineer (for a unique project),Bratislava,IBM, 3 500 EUR/mesiac,pracovna-ponuka/1012235/experienced-data-engineer-for-a-unique-project-,2023-03-04
4,Senior Salesforce Developer,"Bratislavský kraj, Banskobystrický kraj, Košický kraj, Bratislava, Banská Bystrica, Košice",IBM, 2 800 EUR/mesiac,pracovna-ponuka/938515/senior-salesforce-developer,2023-03-04
5,Analytik IT - CIPS,Bratislava,Sociálna poisťovňa, 1 800 EUR/mesiac,pracovna-ponuka/1310179/analytik-it-cips,2023-03-04
6,Analytik IT - SDS,Bratislava,Sociálna poisťovňa, 1 800 EUR/mesiac,pracovna-ponuka/1310145/analytik-it-sds,2023-03-04
7,Programátor COBOL,Bratislava,Sociálna poisťovňa, 2 000 EUR/mesiac,pracovna-ponuka/1301871/programator-cobol,2023-03-04
8,Senior technik telekomunikačných služieb a sietí (m/ž),"Slovenská republika, Košický kraj",Slovak Telekom, 1 200 EUR/mesiac,pracovna-ponuka/1326919/senior-technik-telekomunikacnych-sluzieb-a-sieti-m-z-,2023-03-04
9,Java Developer (banking sector) (Ref. č.: 1-16-39481),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1301653/java-developer-banking-sector-ref-c-1-16-39481-,2023-03-04
10,Fullstack developer (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 800 EUR/mesiac,pracovna-ponuka/1307115/fullstack-developer-m-z-,2023-03-04
11,DEVOPS ENGINEER  - PL/SQL developer (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 000 EUR/mesiac,pracovna-ponuka/1307113/devops-engineer-pl-sql-developer-m-z-,2023-03-04
12,JAVA Developer  (m/f),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 500 EUR/mesiac,pracovna-ponuka/1306807/java-developer-m-f-,2023-03-04
13,Java Developer pre Digital IT (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 000 EUR/mesiac,pracovna-ponuka/1119087/java-developer-pre-digital-it-m-z-,2023-03-04
14,DATA ENGINEER (AI team) (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 500 EUR/mesiac,pracovna-ponuka/1321003/data-engineer-ai-team-m-z-,2023-03-04
15,Systémový admin - výrobná spoločnosť (Ref. č.: 2-15-41882),Nitra,Grafton Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1327399/systemovy-admin-vyrobna-spolocnost-ref-c-2-15-41882-,2023-03-04
16,Cloud Developer,Bratislava,IBM, 2 300 EUR/mesiac,pracovna-ponuka/1311787/cloud-developer,2023-03-04
17,DevSecOps Engineer,Bratislava,IBM, 2 800 EUR/mesiac,pracovna-ponuka/1311737/devsecops-engineer,2023-03-04
18,Application Architect,Bratislava,IBM, 3 800 EUR/mesiac,pracovna-ponuka/1311721/application-architect,2023-03-04
19,Start your career with Adobe!,Bratislava,IBM, 1 600 EUR/mesiac,pracovna-ponuka/1320340/start-your-career-with-adobe,2023-03-04
20,Adobe Consultant,Bratislava,IBM, 1 900 EUR/mesiac,pracovna-ponuka/1320338/adobe-consultant,2023-03-04
21,Adobe Developer,Bratislava,IBM, 1 900 EUR/mesiac,pracovna-ponuka/1320336/adobe-developer,2023-03-04
