ID,Main,Location,Corporation,Href,Date
0,Senior Business Process Analyst,Székesfehérvár,Harman Becker Kft.,https://www.profession.hu/allas/senior-business-process-analyst-harman-becker-kft-szekesfehervar-2112259?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
1,Data Analyst,Budapest,VI5 Technologies Kft.,https://www.profession.hu/allas/data-analyst-vi-technologies-kft-2115588?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
2,Group Data Protection Officer,Budapest,WIZZ Air Hungary Zrt.,https://www.profession.hu/allas/group-data-protection-officer-wizz-air-hungary-zrt-2115165/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
3,Product Designer,Otthonról végezhető,Profession Services,https://www.profession.hu/allas/product-designer-profession-services-2115476/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
4,Head of Solution Delivery,Budapest,Cursor Insight Hungary Kft.,https://www.profession.hu/allas/head-of-solution-delivery-cursor-insight-hungary-kft-2115552/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
5,Hálózati Rendszergazda InformatikusKarriertipp!,"6000 Kecskemét, Izsáki út 2.",DELTAKON Kft.,https://www.profession.hu/allas/halozati-rendszergazda-informatikus-deltakon-kft-kecskemet-2115526/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
6,Szoftver tesztautomatizáló,Szeged,Semilab Zrt.,https://www.profession.hu/allas/szoftver-tesztautomatizalo-semilab-zrt-szeged-2115515?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
7,Software Architect for IoT Device Management,"1238 Budapest, Helsinki út 105.",KNORR-BREMSE Hungária Kft.,https://www.profession.hu/allas/software-architect-for-iot-device-management-knorr-bremse-hungaria-kft-budapest-2115511?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
8,Vezetékes és WiFi hálózat szakértő / fejlesztőmérnök,Budapest XI. kerület,ANTENNA HUNGÁRIA Zrt.,https://www.profession.hu/allas/vezetekes-es-wifi-halozat-szakerto-fejlesztomernok-antenna-hungaria-zrt-budapest-2115421?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
9,Üzemeltetési menedzser / távközlési projektmenedzser,Budapest XI. kerület,ANTENNA HUNGÁRIA Zrt.,https://www.profession.hu/allas/uzemeltetesi-menedzser-tavkozlesi-projektmenedzser-antenna-hungaria-zrt-budapest-2115412?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
10,IT Field Support munkatárs,9653 Répcelak,LINDE GÁZ Magyarország Zrt.,https://www.profession.hu/allas/it-field-support-munkatars-linde-gaz-magyarorszag-zrt-repcelak-2115121?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
11,Product designer,Püspökladány,Johnson Controls,https://www.profession.hu/allas/product-designer-johnson-controls-puspokladany-2115467?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
12,Szoftverfejlesztő,"7623 Pécs, Tüzér utca 13.",RabIT Solutions Zártkörűen Működő Részvénytársaság,https://www.profession.hu/allas/szoftverfejleszto-rabit-solutions-zartkoruen-mukodo-reszvenytarsasag-pecs-2115150?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
13,NFV-CORE Engineer,Budapest,Huawei Technologies Hungary Kft.,https://www.profession.hu/allas/nfv-core-engineer-huawei-technologies-hungary-kft-2115325?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
14,IT Infra Engineer (Budapest),Budapest,Huawei Technologies Hungary Kft.,https://www.profession.hu/allas/it-infra-engineer-budapest-huawei-technologies-hungary-kft-2115321?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
15,CEM - Platform Maintenance Engineer (Budapest – GSC Hungary),Budapest,Huawei Technologies Hungary Kft.,https://www.profession.hu/allas/cem-platform-maintenance-engineer-budapest-gsc-hungary-huawei-technologies-hungary-kft-2115313?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
16,Business Support System Engineer – Software Integration (Budapest),Budapest,Huawei Technologies Hungary Kft.,https://www.profession.hu/allas/business-support-system-engineer-software-integration-budapest-huawei-technologies-hungary-kft-2115306?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
17,Junior Software Developer,Budapest,Huawei Technologies Hungary Kft.,https://www.profession.hu/allas/junior-software-developer-huawei-technologies-hungary-kft-2115282?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
18,IT solution architect (Digitális csatornák),Budapest,BKK Zrt.,https://www.profession.hu/allas/it-solution-architect-digitalis-csatornak-bkk-zrt-2115359/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
19,Java Fejlesztő,"Budapest, V. kerület",Profession Services,https://www.profession.hu/allas/java-fejleszto-profession-services-budapest-2115350/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
20,Adatbázis Fejlesztő,Budapest V. kerület,Profession Services,https://www.profession.hu/allas/adatbazis-fejleszto-profession-services-budapest-2115349/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
21,Webes alkalmazásfejlesztő,Országosan bárhonnan pályázható,Quantelligen Kft.,https://www.profession.hu/allas/webes-alkalmazasfejleszto-quantelligen-kft-2115205?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
22,IT rendszerszervező - Business Analyst,Budapest,Stratis Kft.,https://www.profession.hu/allas/it-rendszerszervezo-business-analyst-stratis-kft-2114125/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
23,Medior Tanácsadó,Budapest,Stratis Kft.,https://www.profession.hu/allas/medior-tanacsado-stratis-kft-2114137/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
24,Projektmenedzser,Budapest,Stratis Kft.,https://www.profession.hu/allas/projektmenedzser-stratis-kft-2114159/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
25,Medior Java developer,Otthonról végezhető,Bredex Hungary Kft,https://www.profession.hu/allas/medior-java-developer-bredex-hungary-kft-2115135/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
26,System engineer (TAM),Budapest,KBC Group Magyarországi Fióktelepe,https://www.profession.hu/allas/system-engineer-tam-kbc-group-magyarorszagi-fioktelepe-2114988/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
27,Linux rendszermérnök,Otthonról végezhető,KeP-ICT Solutions Kft.,https://www.profession.hu/allas/linux-rendszermernok-kep-ict-solutions-kft-2114772/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
28,Microsoft rendszermérnök,Otthonról végezhető,KeP-ICT Solutions Kft.,https://www.profession.hu/allas/microsoft-rendszermernok-kep-ict-solutions-kft-2114764/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
29,Senior informatikus,Budapest,CIVIL ITIM Zrt.,https://www.profession.hu/allas/senior-informatikus-civil-itim-zrt-2114639?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
30,Tesztelés-támogatás vezető,"1095 Budapest, Lechner Ödön fasor 9. K. épül",K&H BANK ZRT. (ICT),https://www.profession.hu/allas/teszteles-tamogatas-vezeto-k-h-bank-zrt-ict-budapest-2114899?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
