Corporation,Main,Location
Grafton Slovakia s.r.o.,Test developer (Python),Bratislava
Grafton Slovakia s.r.o.,Senior Python Developer,Košice
Grafton Slovakia s.r.o.,C++/Python Developer so záujmom o meteorológiu,Bratislava
Erste Digital,Solution Specialist / 2nd level application support (all genders) #python #shell #perl,"Bratislava, Slovakia (Job with occasional home office)"
"Websupport, s.r.o.",Python Developer/ka ,"Karadžičova 12, Ružinov"
"Nokia Slovakia, a.s.","Software Developer C/C++, Python - Multiple positions","Bratislava, Slovakia (Job with occasional home office)"
Erste Digital,Solution Specialist / 2nd level application support (all genders) #python #shell #perl,"Košice, Slovakia (Job with occasional home office)"
"Nokia Slovakia, a.s.","Software Developer Python, Bash, Tcl - Multiple positions","Bratislava, Slovakia (Job with occasional home office)"
Erste Digital,Student Part-time Machine Learning (all genders) #work&study #machinelearning #python #java,"Košice, Slovakia (Job with occasional home office)"
"ESET, spol. s r.o.",Software Engineer,"Bratislava, Slovakia (Job with occasional home office)"
Dell,IT Infrastructure Capacity Planning Intern,Remote work
"Accenture, s.r.o.",Medior Azure Data Engineer [Kosice or Remote],"Košice, Slovakia (Job with occasional home office)"
"Accenture, s.r.o.",Medior Azure Data Engineer [Bratislava or Remote],"Bratislava, Slovakia (Job with occasional home office)"
Grafton Slovakia s.r.o.,"Data Engineer - TPP/freelance, možnosť remote",Košice
Grafton Slovakia s.r.o.,SW Test Engineer,Košice
Pro HR,DevSecOps Engineer,Remote work
"Accenture, s.r.o.",Experienced Azure Data Engineer Bratislava (Permanent home office possible),"Bratislava, Slovakia (Job with occasional home office)"
Pro HR,Ruby on Rails Developer (junior/medior/senior),Remote work
Dell,IT Internship Opportunities,"Bratislava, Slovakia (Job with occasional home office)"
Photoneo s. r. o.,Computer Vision Developer,"Bratislava, Slovak Republic"
Grafton Slovakia s.r.o.,Test developer (Python),Bratislava
Grafton Slovakia s.r.o.,Senior Python Developer,Košice
Grafton Slovakia s.r.o.,C++/Python Developer so záujmom o meteorológiu,Bratislava
Erste Digital,Solution Specialist / 2nd level application support (all genders) #python #shell #perl,"Bratislava, Slovakia (Job with occasional home office)"
"Websupport, s.r.o.",Python Developer/ka ,"Karadžičova 12, Ružinov"
"Nokia Slovakia, a.s.","Software Developer C/C++, Python - Multiple positions","Bratislava, Slovakia (Job with occasional home office)"
Erste Digital,Solution Specialist / 2nd level application support (all genders) #python #shell #perl,"Košice, Slovakia (Job with occasional home office)"
"Nokia Slovakia, a.s.","Software Developer Python, Bash, Tcl - Multiple positions","Bratislava, Slovakia (Job with occasional home office)"
Erste Digital,Student Part-time Machine Learning (all genders) #work&study #machinelearning #python #java,"Košice, Slovakia (Job with occasional home office)"
"ESET, spol. s r.o.",Software Engineer,"Bratislava, Slovakia (Job with occasional home office)"
Dell,IT Infrastructure Capacity Planning Intern,Remote work
"Accenture, s.r.o.",Medior Azure Data Engineer [Kosice or Remote],"Košice, Slovakia (Job with occasional home office)"
"Accenture, s.r.o.",Medior Azure Data Engineer [Bratislava or Remote],"Bratislava, Slovakia (Job with occasional home office)"
Pro HR,DevSecOps Engineer,Remote work
Dell,IT Internship Opportunities,"Bratislava, Slovakia (Job with occasional home office)"
Grafton Slovakia s.r.o.,"Data Engineer - TPP/freelance, možnosť remote",Košice
Grafton Slovakia s.r.o.,SW Test Engineer,Košice
Pro HR,Ruby on Rails Developer (junior/medior/senior),Remote work
"Accenture, s.r.o.",Experienced Azure Data Engineer Bratislava (Permanent home office possible),"Bratislava, Slovakia (Job with occasional home office)"
Photoneo s. r. o.,Computer Vision Developer,"Bratislava, Slovak Republic"
Fpt Slovakia s.r.o.,Programmer for Identity and Access Management,Remote work
Siemens Slovensko,"Softvérový vývojar pre oblasť rádiových systémov (Python, C++)",Žilina
"Accenture, s.r.o.",Monitoring Engineer,"Bratislava, Slovakia (Job with occasional home office)"
"Accenture, s.r.o.",Monitoring Engineer,"Košice, Slovakia (Job with occasional home office)"
"Accenture, s.r.o.",Experienced ETL Data Engineer ready for the Cloud level? (Permanent Home Office Possible),"Bratislava, Slovakia (Job with occasional home office)"
Port Cities International Limited,Python Developer,"Jurkovičova Tepláreň, Bratislava, Slovakia (Job with occasional home office)"
CODERAMA s. r. o.,Senior Python-Django developer,Práca z domu
"SOFTEC, spol. s r.o.",AI/ML špecialista,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Scheidt & Bachmann Slovensko s.r.o.,Data Scientist,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
"Accenture, s.r.o.",Experienced Azure Data Engineer Kosice (Permanent home office possible),"Košice, Slovakia (Job with occasional home office)"
Swiss Re,Senior Python Developer,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
