ID,Main,Location,Corporation,Href,Date
0,Flutter Developer - junior/medior/senior,Budapest,PBS International Kft.,https://www.cvonline.hu/hu/allas/frontend-developer-junior-medior-senior-flutter-advantage-opportunity-learn-flutter-1222864,2023-03-06
1,Senior Machine Learning Engineer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/machine-learning-engineer-1191659,2023-03-06
2,Software Project Manager - Motorcycle,Veszprém,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/software-project-manager-motorcycle-1257192,2023-03-06
3,Medior Linux Rendszergazda,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/medior-linux-rendszergazda-1177879,2023-03-06
4,Junior Golang Developer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/junior-golang-developer-1201530,2023-03-06
5,Junior PHP Developer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/junior-php-developer-1206049,2023-03-06
6,Szoftver teszt tervező (Biatorbágy régió),"Biatorbágy, 2051 Magyarország",Hire-One Kft.,https://www.cvonline.hu/hu/allas/szoftver-teszt-tervezo-budaors-regio-1257184,2023-03-06
7,Szervizmérnök,"Budapest, Bács-Kiskun, Baranya, Békés, Borsod-Abaúj-Zemplén, Csongrád, Fejér, Győr-Moson-Sopron, Hajdú-Bihar, Heves, Jász-Nagykun-Szolnok, Komárom-Esztergom, Nógrád megye, Pest, Somogy, Szabolcs-Szatmár-Bereg, Tolna, Vas, Veszprém, Zala",Digital Kft.,https://www.cvonline.hu/hu/basic/allas/szervizmernok-1263446,2023-03-06
8,Test Engineer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/test-engineer-1215241,2023-03-06
9,SAP bázis üzemeltető,"Nádudvar, 4181 Magyarország, Hajdú-Bihar",Kite Zrt,https://www.cvonline.hu/hu/standard/allas/sap-bazis-uzemelteto-1250637,2023-03-06
10,Kiemelt        Gyengeáramú projektvezető(Nyíregyháza),"Nyíregyháza, Szabolcs-Szatmár-Bereg",CRITERION Biztonságtechnikai Zrt.,https://www.cvonline.hu/hu/premium/allas/gyengearamu-projektvezeto-nyiregyhaza-1254231,2023-03-06
11,FRENCH IT SERVICE DESK ANALYST,"Budapest, Pest",Vision Recruitment Kft.,https://www.cvonline.hu/hu/standard/allas/french-it-service-desk-analyst-1250590,2023-03-06
12,GERMAN SPEAKING SERVICE DESK AGENT,"Budapest, Pest",Vision Recruitment Kft.,https://www.cvonline.hu/hu/standard/allas/german-speaking-service-desk-agent-1250593,2023-03-06
13,BELSŐÉPÍTÉSZ (16-2105),Fejér,HumanField Vezető- és Specialistakiválasztó Kft.,https://www.cvonline.hu/hu/standard/allas/belsoepitesz-16-2105-1263322,2023-03-06
14,Kiemelt        Lean szakértő,"Nyíregyháza, Szabolcs-Szatmár-Bereg",HÜBNER-H Gumi- és Műanyagipari Kft.,https://www.cvonline.hu/hu/premium/allas/lean-szakerto-1255973,2023-03-06
15,Senior JAVA Developer,Budapest,HSA Kft.,https://www.cvonline.hu/hu/allas/senior-java-developer-1207095,2023-03-06
16,IT operation administrator,"Jászfényszaru, 5126 Magyarország",HSA Kft.,https://www.cvonline.hu/hu/allas/it-operation-administrator-1097030,2023-03-06
17,IT Operations Engineer,"Jászfényszaru, 5126 Magyarország",HSA Kft.,https://www.cvonline.hu/hu/allas/it-operations-engineer-1097032,2023-03-06
18,ERP Developer,Debrecen,HSA Kft.,https://www.cvonline.hu/hu/allas/erp-developer-1014990,2023-03-06
19,Rendszermérnök,Veszprém,Work Force Kft.,https://www.cvonline.hu/hu/allas/rendszermernok-1222827,2023-03-06
20,Scrum Master,Budapest,Work Force Kft.,https://www.cvonline.hu/hu/allas/scrum-master-1222841,2023-03-06
21,Vulnerability Management Specialist,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/vulnerability-management-specialist-1222432,2023-03-06
22,Test Engineer - Tatabánya,"Tatabánya, 2800 Magyarország",T-HR Kft.,https://www.cvonline.hu/hu/allas/test-engineer-tatabanya-1219859,2023-03-06
23,"TESZTRENDSZERFEJLESZTÉSI CSOPORTVEZETŐ (PROJEKTVEZETÉS, TESZTRENDSZEREK, ANGOL)",Veszprém,IMPC Personnel Hungária Kft.,https://www.cvonline.hu/hu/allas/tesztrendszerfejlesztesi-csoportvezeto-projektvezetes-tesztrendszerek-angol-1145039,2023-03-06
24,Senior Java Engineer,Budapest,RecruIT Kft.,https://www.cvonline.hu/hu/allas/senior-java-engineer-1041681,2023-03-06
25,Teszteszköz fejlesztő mérnök,Budapest,HSA Kft.,https://www.cvonline.hu/hu/allas/teszteszkoz-fejleszto-mernok-1209779,2023-03-06
26,Frontend Fejlesztő,Pécs,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/frontend-fejleszto-1171726,2023-03-06
27,IT Specialist,Tiszaújváros,HSA Kft.,https://www.cvonline.hu/hu/allas/it-specialist-1119557,2023-03-06
28,Rendszergazda,Tiszaújváros,HSA Kft.,https://www.cvonline.hu/hu/allas/rendszergazda-1201062,2023-03-06
29,Senior Software Engineer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-software-engineer-1100843,2023-03-06
30,Software engineer team lead,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/software-engineer-team-lead-1100844,2023-03-06
31,Cisco Data 2nd Line Engineer,Szeged,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/cisco-data-2nd-line-engineer-1225481,2023-03-06
32,Front-End Developer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/front-end-developer-1225484,2023-03-06
33,Cybersecurity Project Manager,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/cybersecurity-project-manager-1181127,2023-03-06
