ID,Main,Location,Corporation,Href,Date
0,O365 Privacy/Compliance Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/o365-privacycompliance-engineer/5066000,2023-03-21
1,iOS Developer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/ios-developer/5065000,2023-03-21
2,Frontend Developer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/frontend-developer/5064000,2023-03-21
3,Software Test Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/software-test-engineer/5063000,2023-03-21
4,IT Architect ,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/it-architect-net/5062000,2023-03-21
5,Lead Data Engineer,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/lead-data-engineer/5061000,2023-03-21
6,Test Automation Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/test-automation-engineer/5060000,2023-03-21
7,Digitalization Project Manager ,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/digitalization-project-manager-retail/5059000,2023-03-21
8,Junior Service Operations Engineer,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/junior-service-operations-engineer/5058000,2023-03-21
9,Senior Service Operations Engineer,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/senior-service-operations-engineer/5057000,2023-03-21
10,Network Engineer,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/network-engineer/5056000,2023-03-21
11,Senior Machine Learning Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/senior-machine-learning-engineer/5055000,2023-03-21
12,Törzskönyvező dokumentátor orosz...,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/torzskonyvezo-dokumentator-orosz-nyelvtudassal-palyakezdojuniormediorsenior7 oras-reszmunkaidos-akar-100-home-office/5054000,2023-03-21
13,Pénzügyi vezető ,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/penzugyi-vezeto-kontrolling-fokusszal/5053000,2023-03-21
14,Háziorvos,Békés megye,PBS International Kft.,https://itpeople.hu/allasok/bekes-megye/haziorvos/5052000,2023-03-21
15,Junior Accountant with Slavic la...,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/junior-accountant-with-slavic-languages/5051000,2023-03-21
16,Data Transmits Engineer,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/data-transmits-engineer/5049000,2023-03-21
17,Software Test Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/software-test-engineer/5048000,2023-03-21
18,Medior/Senior Test Automation En...,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/mediorsenior-test-automation-engineer/5047000,2023-03-21
19,Junior manual QA engineer,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/junior-manual-qa-engineer/5046000,2023-03-21
20,Service Operations /Change Manag...,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/service-operations-change-management-analyst/5045000,2023-03-21
21,CTO,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/cto/5044000,2023-03-21
22,Vulnerability Reporting Analyst,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/vulnerability-reporting-analyst/5027000,2023-03-21
23,Information Security Program Ana...,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/information-security-program-analyst/5026000,2023-03-21
24,Senior Red Team Operations & Pen...,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/senior-red-team-operationspenetration-testing-analyst/5025000,2023-03-21
25,Junior .NET developer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/junior-net-developer/5022000,2023-03-21
26,Access Manager Specialist ,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/access-manager-specialist-senior/5020000,2023-03-21
27,Sharepoint Specialist,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/sharepoint-specialist/5019000,2023-03-21
28,Project Manager - Project Data S...,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/project-manager-project-data-structureprocesses/5018000,2023-03-21
29,SAP S/4HANA tanácsadó Finance és...,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/sap-s4hana-tanacsado-finance-es-controlling-teruleten/5006000,2023-03-21
30,BI szakértő,Budapest,IDEASOL Magyarország Kft.,https://itpeople.hu/allasok/budapest/bi-szakerto/5003000,2023-03-21
31,IT Asset Manager Specialist ,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/it-asset-manager-specialist-sw/4994000,2023-03-21
32,DevOps Lead,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/devops-lead/4992000,2023-03-21
33,Fullstack fejlesztő ,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/fullstack-fejleszto-angularnet/4991000,2023-03-21
34,Junior C# Fejlesztő,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/junior-c-fejleszto/4990000,2023-03-21
35,Szoftvertesztelő mérnök - Beágya...,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/szoftvertesztelo-mernok-beagyazott-rendszerek/4989000,2023-03-21
36,SAP Ariba Expert,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/sap-ariba-expert/4988000,2023-03-21
37,System Installation Specialist ,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/system-installation-specialist-german-speaking/3925000,2023-03-21
38,Application Support Specialist,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/application-support-specialist/3923000,2023-03-21
39,Intermediate Programmer Analyst,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/intermediate-programmer-analyst/3922000,2023-03-21
40,Multilingual Service Desk Analyst,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/multilingual-service-desk-analyst/3921000,2023-03-21
41,IT Product Owner,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/it-product-owner/3920000,2023-03-21
42,Backend Fejlesztő ,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/backend-fejleszto-juniormediorsenior/3792000,2023-03-21
43,Digital Product Assistance,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/digital-product-assistance/3793000,2023-03-21
44,Fejlesztő Analitikus ,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/fejleszto-analitikus-gyogyszeripar/3795000,2023-03-21
45,Flutter Developer - junior/medio...,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/flutter-developer-juniormediorsenior/3796000,2023-03-21
46,Senior Azure Cloud Architect,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/senior-azure-cloud-architect/3802000,2023-03-21
47,Senior Azure DevOps Engineer,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/senior-azure-devops-engineer/3803000,2023-03-21
48,Senior Big Data Engineer / DWH /...,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/senior-big-data-engineerdwhmiddleware-sme/3804000,2023-03-21
49,Senior/Medior Full Stack Developer,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/seniormedior-full-stack-developer/3805000,2023-03-21
50,Senior Quality Assurance Lead,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/senior-quality-assurance-lead/3806000,2023-03-21
51,Senior Security Architect,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/senior-security-architect/3807000,2023-03-21
52,ui/ux designer ,Távmunka,Miell Jobline Kft.,https://itpeople.hu/allasok/otthon/uiux-designer-/3791000,2023-03-21
53,Project Manager - Global Identit...,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/project-manager-global-identityaccess-management-operations-support/3788000,2023-03-21
54,DevOps Manager,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/devops-manager/3789000,2023-03-21
55,Java alkalmazásszerver üzemeltető,Budapest,Starjobs Magyarország Kft.,https://itpeople.hu/allasok/budapest/java-alkalmazasszerver-uzemelteto/3787000,2023-03-21
56,Vocational Trainee Program,Budapest,zyntern,https://itpeople.hu/allasok/budapest/vocational-trainee-program/3785000,2023-03-21
57,Software Engineering Internship,Budapest,zyntern,https://itpeople.hu/allasok/budapest/software-engineering-internship/3786000,2023-03-21
58,Robotika gyakornok,Budapest,zyntern,https://itpeople.hu/allasok/budapest/robotika-gyakornok/3784000,2023-03-21
59,Senior Python developer,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/senior-python-developer/5190000,2023-03-21
60,German speaking System Implement...,Országos,Randstad Hungary,https://itpeople.hu/allasok/orszagos/german-speaking-system-implementation-specialist-onsite/3918000,2023-03-21
61,Cloud Data Engineer,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/cloud-data-engineer/3919000,2023-03-21
62,Function developer - transmission,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/function-developer-transmission/3773000,2023-03-21
63,IT specialist,Országos,Randstad Hungary,https://itpeople.hu/allasok/orszagos/it-specialist/3774000,2023-03-21
64,Data and AI Solution Architect,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/data-and-ai-solution-architect/3776000,2023-03-21
65,Cplace Java Developer,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/cplace-java-developer/3778000,2023-03-21
66,Java/Angular Developer,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/javaangular-developer/3779000,2023-03-21
