Main,Location,Corporation,Href
IT Rendszeradminsztrátor,Bercel,NIDEC GPM HUNGARY Kft.,/allas/it_rendszeradminsztrator/RG-7041#adtype=dirOA
.Net fejlesztő,Budapest,HVG Kiadó Zrt.,/allas/net_fejleszto/MO-6652#adtype=dirOA
SZOFTVER TÁMOGATÓ,Gödöllő,HumanField Kft.,/allas/szoftver_tamogato/SV-8474#adtype=indOA
Szoftver Fejlesztő,Budapest,R-Szoft Kft.,/allas/szoftver_fejleszto/LA-4148#adtype=dirOA
GYENGEÁRAMÚ HÁLÓZATTELEPITŐ,Budapest,Best Hunters Tanácsadó Iroda,/allas/gyengearamu_halozattelepito/HA-9138#adtype=indOA
Ügyféltámogató informatikus,Budapest,ELTE Kancellária Emberi Erőforrás Igazgatóság,/allas/ugyfeltamogato_informatikus/TS-9605#adtype=dirOA
Távközlési szakember,Budapest,BKV Zrt.,/allas/tavkozlesi_szakember/LS-0685#adtype=dirCU
Távközlési végberendezés üzemeltető,Budapest,BKV Zrt.,/allas/tavkozlesi_vegberendezes_uzemelteto/RO-0480#adtype=dirCU
Szoftver fejlesztő,Budapest,CompLOG MRC Kft.,/allas/szoftver_fejleszto/XG-7798#adtype=dirOA
Rendszergazda - Rendszerüzemeltető,Győr,Uninet Stúdió Kft.,/allas/rendszergazda_rendszeruzemelteto/BA-2804#adtype=dirOA
IT support,Budapest,CompLOG MRC Kft.,/allas/it_support/UC-6213#adtype=dirOA
Automation Tester (REF1033G),Budapest,Deutsche Telekom IT Solutions,/allas/automation_tester_ref1033g/PM-6831#adtype=dirCU
Cloud Application Operation,Budapest,Deutsche Telekom IT Solutions,/allas/cloud_application_operation/BT-5755#adtype=dirCU
Senior Security Consultant (REF1365Q),Budapest,Deutsche Telekom IT Solutions,/allas/senior_security_consultant_ref1365q/LB-7358#adtype=dirCU
Software Safety Engineer,Budapest,Thyssenkrupp,/allas/software_safety_engineer/CH-9990#adtype=dirCU
AWS Data Architect - REF339V,Budapest,Deutsche Telekom IT Solutions,/allas/aws_data_architect_ref339v/SB-6335#adtype=dirCU
People Lead - Devops (REF1105J),Budapest,Deutsche Telekom IT Solutions,/allas/people_lead_devops_ref1105j/YL-9534#adtype=dirCU
Developer (REF1307I),Budapest,Deutsche Telekom IT Solutions,/allas/developer_ref1307i/GK-8222#adtype=dirCU
Python Developer (REF260N),Debrecen,Deutsche Telekom IT Solutions,/allas/python_developer_ref260n/ML-7772#adtype=dirCU
Tapasztalt Frontend Fejlesztő (REF155V),Budapest,Deutsche Telekom IT Solutions,/allas/tapasztalt_frontend_fejleszto_ref155v/WT-4527#adtype=dirCU
DevOps Engineer ARD (TECHNIK HU/ VNI) (REF217J),Budapest,Deutsche Telekom IT Solutions,/allas/devops_engineer_ard_technik_hu_vni_ref217j/AC-0067#adtype=dirCU
Operation Manager Agile (PowerPlatform) (REF1408G),Budapest,Deutsche Telekom IT Solutions,/allas/operation_manager_agile_powerplatform_ref1408g/YL-1464#adtype=dirCU
Head of Team (Open Telekom Cloud) - REF1229O,Budapest,Deutsche Telekom IT Solutions,/allas/head_of_team_open_telekom_cloud_ref1229o/OB-6606#adtype=dirCU
Software engineer team lead,Budapest,Randstad Hungary Kft,/allas/software_engineer_team_lead/IG-8638#adtype=indCU
GCP (Google Cloud Platform) Consultant - REF142Z,Budapest,Deutsche Telekom IT Solutions,/allas/gcp_google_cloud_platform_consultant_ref142z/RR-2987#adtype=dirCU
Incident responder (cert) ref68o,Budapest,Deutsche Telekom IT Solutions,/allas/incident_responder_cert_ref68o/QB-4952#adtype=dirCU
BSS Tester (REF1034E),Budapest,Deutsche Telekom IT Solutions,/allas/bss_tester_ref1034e/JI-8435#adtype=dirCU
Senior Software Engineer,Budapest,Thyssenkrupp,/allas/senior_software_engineer/FY-2042#adtype=dirCU
Security Analyst (REF92A),Budapest,Deutsche Telekom IT Solutions,/allas/security_analyst_ref92a/IP-7970#adtype=dirCU
"Management Support Consultant - Business Area, Private Cloud & Platform Services (m/w/d) (REF1439H)",Budapest,Deutsche Telekom IT Solutions,/allas/management_support_consultant_business_area_private_cloud_platform_services_mwd_ref1439h/RA-0946#adtype=dirCU
Medior Backend fejlesztő német nyelvtudással (REF954Z),Budapest,Deutsche Telekom IT Solutions,/allas/medior_backend_fejleszto_nemet_nyelvtudassal_ref954z/BY-7611#adtype=dirCU
Experienced IT Architect for Software Engineering (REF1435M),Budapest,Deutsche Telekom IT Solutions,/allas/experienced_it_architect_for_software_engineering_ref1435m/SX-2550#adtype=dirCU
Szabályozástechnikai mérnök - Kutatás és előfejlesztés,Budapest,Thyssenkrupp,/allas/szabalyozastechnikai_mernok_kutatas_es_elofejlesztes/OM-3044#adtype=dirCU
Szoftver projektvezető,Budapest,Thyssenkrupp,/allas/szoftver_projektvezeto/AC-4992#adtype=dirCU
Applikációs funkciófejlesztő mérnök (MATLAB/Simulink),Budapest,Thyssenkrupp,/allas/applikacios_funkciofejleszto_mernok_matlabsimulink/XD-6392#adtype=dirCU
Service Desk Agent Trainee (REF1235I),Debrecen,Deutsche Telekom IT Solutions,/allas/service_desk_agent_trainee_ref1235i/UK-7806#adtype=dirCU
Operation Manager (OPM) (REF902W),Budapest,Deutsche Telekom IT Solutions,/allas/operation_manager_opm_ref902w/ZZ-0953#adtype=dirCU
Tapasztalt tesztelő német nyelvtudással (REF126D),Budapest,Deutsche Telekom IT Solutions,/allas/tapasztalt_tesztelo_nemet_nyelvtudassal_ref126d/DA-9574#adtype=dirCU
Rendszerintegrációs mérnök,Budapest,Thyssenkrupp,/allas/rendszerintegracios_mernok/CN-7864#adtype=dirCU
Szoftver tesztautomatizáló mérnök (Győr),Győr,Thyssenkrupp,/allas/szoftver_tesztautomatizalo_mernok_gyor/RH-4746#adtype=dirCU
