ID,Main,Location,Corporation,Href,Date
0,Junior szoftverfejlesztő,Budapest,Consortix Kft.,/allas/junior_szoftverfejleszto/OZ-4870#adtype=dirOA,2023-03-21
1,Projektvezető,Budapest,Consortix Kft.,/allas/projektvezeto/QS-1952#adtype=dirOA,2023-03-21
2,"Szoftverfejlesztő (senior) (Budapest),",Veszprém,CAE Healthcare Kft.,/allas/szoftverfejleszto_senior_budapest/AS-0603#adtype=dirOA,2023-03-21
3,Geodéziai és térinformatikai referens (geodéta,Miskolc,Észak-magyarországi Vízügyi Igazgatóság,/allas/geodeziai_es_terinformatikai_referens_geodeta/JI-4011#adtype=dirOA,2023-03-21
4,IT adminisztrátor és projekt koordinátor,Budapest,Vöröskő Kft.,/allas/it_adminisztrator_es_projekt_koordinator/LU-5240#adtype=dirCU,2023-03-21
5,IT kontroller,Budapest,BKV Zrt.,/allas/it_kontroller/VS-4173#adtype=dirCU,2023-03-21
6,Notebook szerviztechnikus,Budapest,Hadrianus Kft.,/allas/notebook_szerviztechnikus/IT-9264#adtype=dirOA,2023-03-21
7,Mobiltelefon szerviztechnikus,Budapest,Hadrianus Kft.,/allas/mobiltelefon_szerviztechnikus/YE-4023#adtype=dirOA,2023-03-21
8,Számítógép szerviztechnikus,Budapest,Hadrianus Kft.,/allas/szamitogep_szerviztechnikus/JF-0502#adtype=dirOA,2023-03-21
9,GYENGEÁRAMÚ HÁLÓZATTELEPITŐ,Budapest,Best Hunters Tanácsadó Iroda,/allas/gyengearamu_halozattelepito/HA-9138#adtype=indOA,2023-03-21
10,SENIOR SOFTWARE ARCHITECT,Budapest,HVG Kiadó Zrt.,/allas/senior_software_architect/AZ-7219#adtype=dirOA,2023-03-21
11,Címkeszerkesztő munkatárs,Alsómocsolád,Bonafarm Csoport,/allas/cimkeszerkeszto_munkatars/SK-3445#adtype=dirCU,2023-03-21
12,Üzleti elemző,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/uzleti_elemzo/TA-7148#adtype=dirCU,2023-03-21
13,Projektmenedzser,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/projektmenedzser/RV-6390#adtype=dirCU,2023-03-21
14,Rendszerszervező,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/rendszerszervezo/VM-2884#adtype=dirCU,2023-03-21
15,Medior/Szenior szoftvertesztelő és/vagy tesztautomatizáló mérnök,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/mediorszenior_szoftvertesztelo_esvagy_tesztautomatizalo_mernok/ZA-9376#adtype=dirCU,2023-03-21
16,Junior manuális tesztelő,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/junior_manualis_tesztelo/TW-3872#adtype=dirCU,2023-03-21
17,Operátor,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/operator/RQ-1272#adtype=dirCU,2023-03-21
18,Incidenskezelő munkatárs,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/incidenskezelo_munkatars/LB-0091#adtype=dirCU,2023-03-21
19,Etikus hacker,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/etikus_hacker/ZL-1743#adtype=dirCU,2023-03-21
20,Senior PHP fejlesztő,Budapest,Hammer MS Kft.,/allas/senior_php_fejleszto/VH-7452#adtype=dirOA,2023-03-21
21,IT/Telekommunikációs mérnök,Magyarország,Dream Bells Kft.,/allas/ittelekommunikacios_mernok/KS-6740#adtype=dirOA,2023-03-21
22,Szoftverfejlesztő mérnök - beágyazott rendszerekhez (Veszprém),Veszprém,Thyssenkrupp,/allas/szoftverfejleszto_mernok_beagyazott_rendszerekhez_veszprem/FR-8178#adtype=dirCU,2023-03-21
23,SAP PP supporter,Budapest,Thyssenkrupp,/allas/sap_pp_supporter/RW-9523#adtype=dirCU,2023-03-21
24,Szoftverfejlesztő mérnök (Indusztrializáció),Budapest,Thyssenkrupp,/allas/szoftverfejleszto_mernok_indusztrializacio/XN-2814#adtype=dirCU,2023-03-21
25,Senior software engineer,Budapest,Thyssenkrupp,/allas/senior_software_engineer/EE-4438#adtype=dirCU,2023-03-21
26,Security Analyst (REF92A),Budapest,Deutsche Telekom IT Solutions,/allas/security_analyst_ref92a/IP-7970#adtype=dirCU,2023-03-21
27,Service Chain Operations Manager (REF1566A),Budapest,Deutsche Telekom IT Solutions,/allas/service_chain_operations_manager_ref1566a/NV-2768#adtype=dirCU,2023-03-21
28,Medior Backend fejlesztő német nyelvtudással (REF954Z),Budapest,Deutsche Telekom IT Solutions,/allas/medior_backend_fejleszto_nemet_nyelvtudassal_ref954z/BY-7611#adtype=dirCU,2023-03-21
29,Scrum Master,Budapest,Thyssenkrupp,/allas/scrum_master/SO-5970#adtype=dirCU,2023-03-21
30,FMEA Moderator,Budapest,Thyssenkrupp,/allas/fmea_moderator/YO-7718#adtype=dirCU,2023-03-21
31,Applikációs funkciófejlesztő mérnök (MATLAB/Simulink),Budapest,Thyssenkrupp,/allas/applikacios_funkciofejleszto_mernok_matlabsimulink/XD-6392#adtype=dirCU,2023-03-21
32,Senior Project Manager (REF1450G),Budapest,Deutsche Telekom IT Solutions,/allas/senior_project_manager_ref1450g/PC-2441#adtype=dirCU,2023-03-21
33,Senior DevOps Engineer (REF1536K),Budapest,Deutsche Telekom IT Solutions,/allas/senior_devops_engineer_ref1536k/NA-0198#adtype=dirCU,2023-03-21
34,Java/SQL Developer (REF1525S),Budapest,Deutsche Telekom IT Solutions,/allas/javasql_developer_ref1525s/RQ-2237#adtype=dirCU,2023-03-21
35,Szoftver tesztautomatizáló mérnök (Szeged),Szeged,Thyssenkrupp,/allas/szoftver_tesztautomatizalo_mernok_szeged/AD-9155#adtype=dirCU,2023-03-21
36,"HARDWARE MÉRNÖK - FEJLESZTÉS, GYÁRTÁSTÁMOGATÁS (Pályakezdők jelentkezését is várjuk!)",Veszprém,IMPC Personnel Hungária Kft.,/allas/hardware_mernok_fejlesztes_gyartastamogatas_palyakezdok_jelentkezeset_is_varjuk/ID-6617#adtype=indCU,2023-03-21
37,Software Engineer (CyberArk) (REF1366M),Budapest,Deutsche Telekom IT Solutions,/allas/software_engineer_cyberark_ref1366m/ZX-8653#adtype=dirCU,2023-03-21
38,Szoftver tesztautomatizáló mérnök,Győr,Thyssenkrupp,/allas/szoftver_tesztautomatizalo_mernok/AS-7808#adtype=dirCU,2023-03-21
39,Rendszergazda,Budapest,Randstad Hungary Kft,/allas/rendszergazda/EK-5916#adtype=indCU,2023-03-21
40,Szoftverintegrációs tesztautomatizáló mérnök,Budapest,Thyssenkrupp,/allas/szoftverintegracios_tesztautomatizalo_mernok/XT-0885#adtype=dirCU,2023-03-21
41,Test Engineer (Jira),Budapest,Thyssenkrupp,/allas/test_engineer_jira/PL-9744#adtype=dirCU,2023-03-21
42,SAP Consultant (PP),Magyarország,Randstad Hungary Kft,/allas/sap_consultant_pp/GT-2966#adtype=indCU,2023-03-21
43,DevOps Engineer (VNI 1 NNA_ACC Squad) (REF220B),Budapest,Deutsche Telekom IT Solutions,/allas/devops_engineer_vni_1_nnaacc_squad_ref220b/QW-8639#adtype=dirCU,2023-03-21
44,Rollout coordinator - automation - REF410H,Budapest,Deutsche Telekom IT Solutions,/allas/rollout_coordinator_automation_ref410h/DG-1412#adtype=dirCU,2023-03-21
45,Senior Scrum Master (REF1588F),Budapest,Deutsche Telekom IT Solutions,/allas/senior_scrum_master_ref1588f/WD-2324#adtype=dirCU,2023-03-21
46,Frontend fejlesztő -német nyelvtudással (REF731J),Budapest,Deutsche Telekom IT Solutions,/allas/frontend_fejleszto_nemet_nyelvtudassal_ref731j/RM-3344#adtype=dirCU,2023-03-21
47,Test architect,Budapest,Thyssenkrupp,/allas/test_architect/GV-1208#adtype=dirCU,2023-03-21
48,Tapasztalt tesztelő (Audi) (REF1598Y),Budapest,Deutsche Telekom IT Solutions,/allas/tapasztalt_tesztelo_audi_ref1598y/VK-3882#adtype=dirCU,2023-03-21
49,Azure DevOps Engineer (REF1580B),Budapest,Deutsche Telekom IT Solutions,/allas/azure_devops_engineer_ref1580b/CM-4794#adtype=dirCU,2023-03-21
50,DevOps Engineer,Magyarország,Deutsche Telekom IT Solutions,/allas/devops_engineer/QM-6475#adtype=dirCU,2023-03-21
51,"Tesztberendezés fejlesztő szoftvermérnök (labview, angol)",Veszprém,IMPC Personnel Hungária Kft.,/allas/tesztberendezes_fejleszto_szoftvermernok_labview_angol/KG-3206#adtype=indCU,2023-03-21
52,DevOps Engineer - Networking field (REF222U),Budapest,Deutsche Telekom IT Solutions,/allas/devops_engineer_networking_field_ref222u/QX-8461#adtype=dirCU,2023-03-21
53,Technical Process Manager (REF1591N),Debrecen,Deutsche Telekom IT Solutions,/allas/technical_process_manager_ref1591n/EH-9643#adtype=dirCU,2023-03-21
54,Lead Designer in Test & Operations automation (REF1534Q),Budapest,Deutsche Telekom IT Solutions,/allas/lead_designer_in_test_operations_automation_ref1534q/HF-1878#adtype=dirCU,2023-03-21
55,AWS Cloud Migration Architect (REF1547Q),Budapest,Deutsche Telekom IT Solutions,/allas/aws_cloud_migration_architect_ref1547q/JR-1004#adtype=dirCU,2023-03-21
56,It koordinátor (Fejér,megye,IMPC Personnel Hungária Kft.,/allas/it_koordinator/KV-8552#adtype=indCU,2023-03-21
57,Citrix System Administrator (REF676D),Budapest,Deutsche Telekom IT Solutions,/allas/citrix_system_administrator_ref676d/AI-4520#adtype=dirCU,2023-03-21
58,SW Tool Project Leader,Budapest,Thyssenkrupp,/allas/sw_tool_project_leader/NK-2158#adtype=dirCU,2023-03-21
59,Hardverfejlesztési folyamatgazda,Budapest,Thyssenkrupp,/allas/hardverfejlesztesi_folyamatgazda/KG-1104#adtype=dirCU,2023-03-21
60,DevOps Engineer EDG (TECHNIK HU/ VNI) (REF216Y),Budapest,Deutsche Telekom IT Solutions,/allas/devops_engineer_edg_technik_hu_vni_ref216y/KX-6038#adtype=dirCU,2023-03-21
61,Application Support Engineer,Budapest,Thyssenkrupp,/allas/application_support_engineer/ZA-9924#adtype=dirCU,2023-03-21
62,Quality & Process Coordinator - REF1585O,Debrecen,Deutsche Telekom IT Solutions,/allas/quality_process_coordinator_ref1585o/PQ-2333#adtype=dirCU,2023-03-21
63,Hálózatépítő,Budapest,Randstad Hungary Kft,/allas/halozatepito/DN-1352#adtype=indCU,2023-03-21
64,Junior Data Engineer (REF1600P),Budapest,Deutsche Telekom IT Solutions,/allas/junior_data_engineer_ref1600p/DZ-7790#adtype=dirCU,2023-03-21
65,Scrum Master (Open Telecom Cloud) - REF1555S,Budapest,Deutsche Telekom IT Solutions,/allas/scrum_master_open_telecom_cloud_ref1555s/IP-7673#adtype=dirCU,2023-03-21
66,Service manager (REF1601R),Budapest,Deutsche Telekom IT Solutions,/allas/service_manager_ref1601r/KE-2579#adtype=dirCU,2023-03-21
67,BI gyakornok (REF417C),Budapest,Deutsche Telekom IT Solutions,/allas/bi_gyakornok_ref417c/QH-5315#adtype=dirCU,2023-03-21
68,System Validation Engineer (REF1539Z),Budapest,Deutsche Telekom IT Solutions,/allas/system_validation_engineer_ref1539z/FL-0770#adtype=dirCU,2023-03-21
69,Szoftverintegrációs mérnök (automatizáció),Budapest,Thyssenkrupp,/allas/szoftverintegracios_mernok_automatizacio/OS-6695#adtype=dirCU,2023-03-21
70,Szoftver projektvezető,Budapest,Thyssenkrupp,/allas/szoftver_projektvezeto/GR-5276#adtype=dirCU,2023-03-21
71,Medior Java fejlesztő (REF1492A),Budapest,Deutsche Telekom IT Solutions,/allas/medior_java_fejleszto_ref1492a/WC-6373#adtype=dirCU,2023-03-21
72,German speaking IT Security Advisor (REF1513T),Budapest,Deutsche Telekom IT Solutions,/allas/german_speaking_it_security_advisor_ref1513t/TT-3847#adtype=dirCU,2023-03-21
73,Test Automation Engineer - English speaking (REF1532Z),Budapest,Deutsche Telekom IT Solutions,/allas/test_automation_engineer_english_speaking_ref1532z/KH-9808#adtype=dirCU,2023-03-21
74,Network Automation Engineer (REF1561J),Budapest,Deutsche Telekom IT Solutions,/allas/network_automation_engineer_ref1561j/GM-1014#adtype=dirCU,2023-03-21
75,Szoftver architect,Budapest,Thyssenkrupp,/allas/szoftver_architect/AV-6532#adtype=dirCU,2023-03-21
76,Process Manager - Software engineering (REF541Q),Budapest,Deutsche Telekom IT Solutions,/allas/process_manager_software_engineering_ref541q/SQ-6483#adtype=dirCU,2023-03-21
77,Szoftverfejlesztési csoportvezető (indusztrializáció),Budapest,Thyssenkrupp,/allas/szoftverfejlesztesi_csoportvezeto_indusztrializacio/BA-0110#adtype=dirCU,2023-03-21
78,Cloud Software Architect for Microsoft Azure (REF1512U),Budapest,Deutsche Telekom IT Solutions,/allas/cloud_software_architect_for_microsoft_azure_ref1512u/VW-7616#adtype=dirCU,2023-03-21
79,Hardverfejlesztő mérnök (Veszprém),Veszprém,Thyssenkrupp,/allas/hardverfejleszto_mernok_veszprem/TH-8195#adtype=dirCU,2023-03-21
80,Cyber Security Analyst Tier2 (REF196L),Budapest,Deutsche Telekom IT Solutions,/allas/cyber_security_analyst_tier2_ref196l/BP-8726#adtype=dirCU,2023-03-21
81,AWS Architect - REF341L,Budapest,Deutsche Telekom IT Solutions,/allas/aws_architect_ref341l/KG-7116#adtype=dirCU,2023-03-21
82,Software Engineer in networking Lab enviroment (TC Core/Technik HU) (REF225Q),Budapest,Deutsche Telekom IT Solutions,/allas/software_engineer_in_networking_lab_enviroment_tc_coretechnik_hu_ref225q/AO-3733#adtype=dirCU,2023-03-21
83,Qlik Sense/ Qlik View Developer (REF1602F),Budapest,Deutsche Telekom IT Solutions,/allas/qlik_sense_qlik_view_developer_ref1602f/PT-7210#adtype=dirCU,2023-03-21
84,Solution Engineer - SD-WAN (REF1496Z),Budapest,Deutsche Telekom IT Solutions,/allas/solution_engineer_sd_wan_ref1496z/MG-2442#adtype=dirCU,2023-03-21
85,Line Security Manager (REF1562S),Budapest,Deutsche Telekom IT Solutions,/allas/line_security_manager_ref1562s/LN-7878#adtype=dirCU,2023-03-21
86,Business Finance Specialist - German speaking - REF1529K,Budapest,Deutsche Telekom IT Solutions,/allas/business_finance_specialist_german_speaking_ref1529k/WM-5716#adtype=dirCU,2023-03-21
87,MS Dynamics 365 Fejlesztő (REF395H),Budapest,Deutsche Telekom IT Solutions,/allas/ms_dynamics_365_fejleszto_ref395h/UT-7359#adtype=dirCU,2023-03-21
88,SAP FI-CO Supporter,Budapest,Thyssenkrupp,/allas/sap_fi_co_supporter/JR-6294#adtype=dirCU,2023-03-21
89,Azure Migration Engineer (REF1379T),Budapest,Deutsche Telekom IT Solutions,/allas/azure_migration_engineer_ref1379t/XW-1297#adtype=dirCU,2023-03-21
90,Software Engineer,Budapest,Randstad Hungary Kft,/allas/software_engineer/MA-9733#adtype=indCU,2023-03-21
91,LAN Network Engineer (REF1551O),Debrecen,Deutsche Telekom IT Solutions,/allas/lan_network_engineer_ref1551o/YP-4575#adtype=dirCU,2023-03-21
92,Senior Software Engineer,Budapest,Thyssenkrupp,/allas/senior_software_engineer/KX-2579#adtype=dirCU,2023-03-21
93,Scrum Master (REF365P),Budapest,Deutsche Telekom IT Solutions,/allas/scrum_master_ref365p/MW-1789#adtype=dirCU,2023-03-21
94,Technical Support Engineer,Budaörs,Randstad Hungary Kft,/allas/technical_support_engineer/GS-0287#adtype=indCU,2023-03-21
95,Azure Cloud Consultant (REF1499H),Budapest,Deutsche Telekom IT Solutions,/allas/azure_cloud_consultant_ref1499h/BX-0856#adtype=dirCU,2023-03-21
96,Backend Developer (REF882R),Budapest,Deutsche Telekom IT Solutions,/allas/backend_developer_ref882r/CX-4356#adtype=dirCU,2023-03-21
97,Audit and Compliance Engineer (Open Telekom Cloud) - REF758X,Budapest,Deutsche Telekom IT Solutions,/allas/audit_and_compliance_engineer_open_telekom_cloud_ref758x/ZJ-7994#adtype=dirCU,2023-03-21
98,Azure Cloud Migration Architect (REF1500R),Budapest,Deutsche Telekom IT Solutions,/allas/azure_cloud_migration_architect_ref1500r/KZ-5202#adtype=dirCU,2023-03-21
