ID,Main,Location,Corporation,Salary,Href,Date
0,Web Developer,Bratislava,"Zoznam, s.r.o.", 2 000 EUR/mesiac,pracovna-ponuka/98484/web-developer,2023-03-21
1,"IT tester/-ka s nemeckým jazykom - TPP, REMOTE (Ref. č.: 1-16-39791)",Nitra,Grafton Slovakia s.r.o., 1 600 EUR/mesiac,pracovna-ponuka/1118107/it-tester-ka-s-nemeckym-jazykom-tpp-remote-ref-c-1-16-39791-,2023-03-21
2,Montér/Servisný technik klimatizácií a tepelných čerpadiel,Bratislavský kraj,PROPLUSCO spol.s r.o., 1 700 EUR/mesiac,pracovna-ponuka/1330379/monter-servisny-technik-klimatizacii-a-tepelnych-cerpadiel,2023-03-21
3,Compliance Engineer (Ref. č.: 131-15-42008),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1330241/compliance-engineer-ref-c-131-15-42008-,2023-03-21
4,Cybersecurity Engineer (Ref. č.: 131-15-42007),Košice,Grafton Slovakia s.r.o., 2 700 EUR/mesiac,pracovna-ponuka/1330239/cybersecurity-engineer-ref-c-131-15-42007-,2023-03-21
5,Senior C++ Software Developer (Ref. č.: 131-16-42006),Košice,Grafton Slovakia s.r.o., 2 800 EUR/mesiac,pracovna-ponuka/1330237/senior-c-software-developer-ref-c-131-16-42006-,2023-03-21
6,Test Developer (Ref. č.: 131-15-42001),Bratislava,Grafton Slovakia s.r.o., 2 400 EUR/mesiac,pracovna-ponuka/1330235/test-developer-ref-c-131-15-42001-,2023-03-21
7,Projektový manažér,Bratislava,Pôdohospodárska platobná agentúra, 1 299 EUR/mesiac,pracovna-ponuka/1330243/projektovy-manazer,2023-03-21
8,Programátor CNC strojov,"Okres Komárno, Komárno, Kolárovo",KolArms s.r.o., 1 200 EUR/mesiac,pracovna-ponuka/1319712/programator-cnc-strojov,2023-03-21
9,"Obchodný dispečer/práca vhodná pre študentov, absolventov s technickým zameraním/",Bratislava,PROPLUSCO spol.s r.o., 1 700 EUR/mesiac,pracovna-ponuka/1330139/obchodny-dispecer-praca-vhodna-pre-studentov-absolventov-s-technickym-zameranim-,2023-03-21
10,Senior segmentový analytik (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 500 EUR/mesiac,pracovna-ponuka/1329463/senior-segmentovy-analytik-m-z-,2023-03-21
11,Senior analytik,Bratislava,Sociálna poisťovňa, 2 500 EUR/mesiac,pracovna-ponuka/1329387/senior-analytik,2023-03-21
12,SAP key user (Ref. č.: 131-10-41951),Skalica,Grafton Slovakia s.r.o., 1 350 EUR/mesiac,pracovna-ponuka/1330021/sap-key-user-ref-c-131-10-41951-,2023-03-21
13,Vývojár 2D/3D CAD systémov (Ref. č.: 131-16-41957),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1330019/vyvojar-2d-3d-cad-systemov-ref-c-131-16-41957-,2023-03-21
14,Node.JS Developer (Ref. č.: 1-16-40912),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1298125/node-js-developer-ref-c-1-16-40912-,2023-03-21
15,React  Developer (Ref. č.: 1-16-40908),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1297955/react-developer-ref-c-1-16-40908-,2023-03-21
16,App IT Tester|REMOTE|aj ABSOLVENTI (Ref. č.: 1-16-41605),Bratislava,Grafton Slovakia s.r.o., 1 200 EUR/mesiac,pracovna-ponuka/1319340/app-it-testerremoteaj-absolventi-ref-c-1-16-41605-,2023-03-21
17,Senior IT Analytik (Ref. č.: 1-15-41604),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1319338/senior-it-analytik-ref-c-1-15-41604-,2023-03-21
18,IT Architect (Ref. č.: 1-16-41598),Bratislava,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1319332/it-architect-ref-c-1-16-41598-,2023-03-21
19,SLA Manager (Ref. č.: 1-15-41602),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1319330/sla-manager-ref-c-1-15-41602-,2023-03-21
20,IT projektový manažér (Ref. č.: 1-15-41603),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1319328/it-projektovy-manazer-ref-c-1-15-41603-,2023-03-21
21,IT Analytik - Team Leader (Ref. č.: 1-15-41609),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1319326/it-analytik-team-leader-ref-c-1-15-41609-,2023-03-21
22,IAM administrátor - TPP & REMOTE (Ref. č.: 1-16-41336),Nitra,Grafton Slovakia s.r.o., 1 600 EUR/mesiac,pracovna-ponuka/1310347/iam-administrator-tpp-remote-ref-c-1-16-41336-,2023-03-21
23,Production Hardware Engineer (Ref. č.: 1-12-41341),Skalica,Grafton Slovakia s.r.o., 1 500 EUR/mesiac,pracovna-ponuka/1310343/production-hardware-engineer-ref-c-1-12-41341-,2023-03-21
24,SAP programátor/vývojár (Ref. č.: 6-16-41355),Ilava,Grafton Slovakia s.r.o., 2 400 EUR/mesiac,pracovna-ponuka/1310283/sap-programator-vyvojar-ref-c-6-16-41355-,2023-03-21
25,"Data Engineer - TPP/freelance, možnosť REMOTE (Ref. č.: 1-16-39546)",Košice,Grafton Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1297557/data-engineer-tpp-freelance-moznost-remote-ref-c-1-16-39546-,2023-03-21
