ID,Main,Location,Corporation,Salary,Href,Date
0,WEB FE application developer ,"Námestie Ľudovíta Štúra 2, Bratislava",NOVIS Insurance Company,2 800 EUR/mesiac,/praca/novis-insurance-company/O4427702,2023-02-21
1,WEB FE application developer ,Trenčín,NOVIS Insurance Company,2 400 EUR/mesiac,/praca/novis-insurance-company/O4391821,2023-02-21
2,DevOps Engineer (Azure),"Bratislava, Slovakia (Job with occasional home office)",Pro HR,3 500 EUR/mesiac,/praca/pro-hr/O4524429,2023-02-21
3,C# Tester Team Leader ,Práca z domu,"GETBID, s. r. o.",,/praca/getbid/O4504954,2023-02-21
4,Web developer (Javascript & Typescript) - junior/medior,Bratislava,Grafton Slovakia s.r.o.,1 800 EUR/mesiac,/praca/grafton-slovakia/O4524360,2023-02-21
5,SW Developer (Vývoj a výroba elektronických testovacích zariadení),"Bytča, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Scheidt & Bachmann Slovensko s.r.o.,2 200 - 2 500 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4473237,2023-02-21
6,Software Integration Engineer ,"Bratislava, Slovakia (Job with occasional home office)",Scheidt & Bachmann Slovensko s.r.o.,1 800 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4456137,2023-02-21
7,"Junior - Senior Java Developer, IČO, 100% home office",Práce z domu,teamIT s.r.o.,3 250 EUR/mesiac,/praca/teamit/O4504429,2023-02-21
8,Vývojár automatizácie,Bratislava,"ADECCO Slovakia, s. r. o.",90 000 Kč/mesiac,/praca/adecco-slovakia/O4524352,2023-02-21
9,Java Developer - Letectvo (Greenfield project),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Indra Avitech s.r.o.,1 700 EUR/mesiac,/praca/indra-avitech/O4457914,2023-02-21
10,.NET Developer,Práca z domu,TRIGON Consulting s.r.o.,2 000 - 3 000 EUR/mesiac,/praca/trigon-consulting/O4427535,2023-02-21
11,Senior Application Developer (Robotics&Artificial intelligence) (REF507X),040 01 Košice,Deutsche Telekom IT Solutions Slovakia,1 800 EUR/mesiac,/praca/deutsche-telekom-it-solutions-slovakia/O4524336,2023-02-21
12,Senior projektový manažér pre riadenie SW dodávok,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Scheidt & Bachmann Slovensko s.r.o.,3 100 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4524334,2023-02-21
13,Senior application developer (Network data Intelligence) (REF506H),040 01 Košice,Deutsche Telekom IT Solutions Slovakia,3 500 EUR/mesiac,/praca/deutsche-telekom-it-solutions-slovakia/O4524332,2023-02-21
14,Senior Front-End Application Developer+ 5000 Eur Sign on bonus (REF463Z),040 01 Košice,Deutsche Telekom IT Solutions Slovakia,3 100 EUR/mesiac,/praca/deutsche-telekom-it-solutions-slovakia/O4524325,2023-02-21
15,Front-End Application Developer + 1000 eur brutto Sign on Bonus (REF280Q),040 01 Košice,Deutsche Telekom IT Solutions Slovakia,3 100 EUR/mesiac,/praca/deutsche-telekom-it-solutions-slovakia/O4524322,2023-02-21
16,PEGA Architect- Business Analyst,Remote work,Deutsche Telekom Services Europe Slovakia s.r.o.,2 000 EUR/mesiac,/praca/deutsche-telekom-services-europe-slovakia/O4436236,2023-02-21
17,Software Tester - Letectvo (Greenfield project),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Indra Avitech s.r.o.,2 300 EUR/mesiac,/praca/indra-avitech/O4151905,2023-02-21
18,Skúsený BPM developer (Appian),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",PwC,1 300 - 2 000 EUR/mesiac,/praca/pwc/O3953983,2023-02-21
19,PHP Developer (m/ž),"Bajkalská 28, Ružinov","Slovak Telekom, a.s.",1 900 EUR/mesiac,/praca/slovak-telekom/O4524177,2023-02-21
20,Senior Python Developer (permanent home office possible),"Bratislava, Slovakia (Job with occasional home office)","Accenture, s.r.o.",2 800 - 4 300 EUR/mesiac,/praca/accenture/O4515955,2023-02-21
21,Service Management Analyst,"Bratislava, Slovakia (Job with occasional home office)","Accenture, s.r.o.",1 800 - 2 600 EUR/mesiac,/praca/accenture/O4502991,2023-02-21
22,C# Developer,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Siemens Slovensko,1 500 EUR/mesiac,/praca/siemens-slovensko/O4118049,2023-02-21
23,Full stack developer (medior),"Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,,/praca/siemens-slovensko/O4355361,2023-02-21
24,SW developer - student,"Košice, Slovakia (Job with occasional home office)",Siemens Slovensko,2 200 EUR/mesiac,/praca/siemens-slovensko/O4307506,2023-02-21
25,Medior C++ Developer ETCS OBU (Remote),Práca z domu,Siemens Slovensko,6 EUR/hod.,/praca/siemens-slovensko/O4267352,2023-02-21
26,Oracle Cloud Developer,Bratislava,IBM,2 100 EUR/mesiac,/praca/ibm/O4213544,2023-02-21
27,Experienced Fullstack Developer with .NET expertise (permanent home office possible),"Bratislava, Slovakia (Job with occasional home office)","Accenture, s.r.o.",2 200 EUR/mesiac,/praca/accenture/O4171094,2023-02-21
28,Experienced Java Developer (Permanent Home office possible),Remote work,"Accenture, s.r.o.",2 800 - 4 300 EUR/mesiac,/praca/accenture/O3801629,2023-02-21
29,Lead developer/Architect for Embedded C++ Software,"Lamačská cesta, 841 01 Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,2 900 - 4 500 EUR/mesiac,/praca/siemens-slovensko/O4065776,2023-02-21
30,Experienced C#.NET developer for Dynamics 365 platform (permanent home office possible),"Bratislava, Slovakia (Job with occasional home office)","Accenture, s.r.o.",2 900 EUR/mesiac,/praca/accenture/O4056971,2023-02-21
31,Azure Machine Learning developer (Permanent Home Office Possible),"Bratislava, Slovakia (Job with occasional home office)","Accenture, s.r.o.",2 800 - 4 300 EUR/mesiac,/praca/accenture/O3988995,2023-02-21
32,Frontend developer (Angular/AngularJS),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Asseco Central Europe, a. s.",1 800 EUR/mesiac,/praca/asseco-central-europe/O4524119,2023-02-21
33,DevOps for Biometric Devices,Nitra,Muehlbauer Technologies s.r.o.,2 000 EUR/mesiac,/praca/muehlbauer-technologies/O4503558,2023-02-21
34,C++ Developer (Medior/Senior),Nitra,Muehlbauer Technologies s.r.o.,2 300 - 3 000 EUR/mesiac,/praca/muehlbauer-technologies/O4249390,2023-02-21
35,System Integrator & Coordinator,Nitra,Muehlbauer Technologies s.r.o.,2 000 - 3 000 EUR/mesiac,/praca/muehlbauer-technologies/O4486359,2023-02-21
36,Senior Java Developer,Bratislava,"Západoslovenská energetika, a.s.",1 700 EUR/mesiac,/praca/zapadoslovenska-energetika/O4524050,2023-02-21
37,Junior Jira Developer ,Práca z domu,Unicorn,2 700 EUR/mesiac,/praca/unicorn/O4523258,2023-02-21
38,Programátor ,"Mostová 41, 932 01 Veľký Meder","Edscha Velky Meder, s.r.o.",1 200 EUR/mesiac,/praca/edscha-velky-meder/O4340332,2023-02-21
39,Junior SW vývojár riadiacich jednotiek v C/C++,"Štúrova, Košice",ComAp Slovakia s.r.o.,1 700 EUR/mesiac,/praca/comap-slovakia/O4523973,2023-02-21
40,Senior React.js programátor,Práca z domu,valllue s.r.o.,4 000 EUR/mesiac,/praca/valllue/O4523881,2023-02-21
41,Senior Java programátor,Práca z domu,valllue s.r.o.,4 000 EUR/mesiac,/praca/valllue/O4523861,2023-02-21
42,React Native Developer (Medior),Práca z domu,localhost s.r.o.,2 500 - 3 500 EUR/mesiac,/praca/localhost/O4523855,2023-02-21
43,MS SQL & .NET developer,"Kálov 356, Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)","codium, s.r.o.",,/praca/codium/O4318283,2023-02-21
44,Junior Developer (JavaScript /.NET / C#) - Graduate Hiring Program,"DXC Technology, Galvaniho, Bratislava, Slovakia (Job with occasional home office)",DXC Technology,2 500 - 4 000 EUR/mesiac,/praca/dxc-technology/O4168394,2023-02-21
45,IT Coordinator,Banskobystrický kraj,Lugera & Maklér spol.s r.o.,1 100 - 1 600 EUR/mesiac,/praca/lugera-makler/O4523845,2023-02-21
46,Junior Application Developer - Back-End (Part-time job for students) (REF471R),Košice,Deutsche Telekom IT Solutions Slovakia,2 300 EUR/mesiac,/praca/deutsche-telekom-it-solutions-slovakia/O4523820,2023-02-21
47,Junior Application Developer (part time job for students) (REF530M),"Košice, Slovakia (Job with occasional home office)",Deutsche Telekom IT Solutions Slovakia,"4,5 EUR/hod.",/praca/deutsche-telekom-it-solutions-slovakia/O4523806,2023-02-21
48,"Senior Developer Analyst-SharePoint, Europe",Remote work,Medline Assembly Slovakia s.r.o.,"4,5 EUR/hod.",/praca/medline-assembly-slovakia/O4523805,2023-02-21
49,Java Developer ,"Sygic, Mlynské nivy, Bratislava, Slovensko (Job with occasional home office)","Sygic, a. s.",2 500 EUR/mesiac,/praca/sygic/O4523739,2023-02-21
50,Senior Qlik developer,Remote work,"Accenture, s.r.o.",2 000 EUR/mesiac,/praca/accenture/O4523718,2023-02-21
51,Python Developer for Telematics,"Sygic, Mlynské nivy, Bratislava, Slovensko (Job with occasional home office)","Sygic, a. s.",2 900 - 4 300 EUR/mesiac,/praca/sygic/O4154737,2023-02-21
