ID,Main,Location,Corporation,Href,Date
0,IT Procurement Associate,Budapest,TATA Consultancy Services Hungary,https://www.profession.hu/allas/it-procurement-associate-tata-consultancy-services-hungary-2127618?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
1,French Speaking Service Desk Analyst – Level 1,Budapest,TATA Consultancy Services Hungary,https://www.profession.hu/allas/french-speaking-service-desk-analyst-level-tata-consultancy-services-hungary-2127646?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
2,Internal Control Assistant Manager,"1119 Budapest, Andor utca 27-31.",ARRIVA HUNGARY ZRT.,https://www.profession.hu/allas/internal-control-assistant-manager-arriva-hungary-zrt-budapest-2127509?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
3,IT Inhouse Consultant (m/f/d) Test Management,"1016 Budapest, Mészáros utca 58/B.",Dr. Oetker Magyarország Élelmiszer Kft.,https://www.profession.hu/allas/it-inhouse-consultant-m-f-d-test-management-dr-oetker-magyarorszag-elelmiszer-kft-budapest-2127576?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
4,Senior Network Operation Specialist,Budapest,Richter Gedeon Nyrt.,https://www.profession.hu/allas/senior-network-operation-specialist-richter-gedeon-nyrt-2127503?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
5,Projektvezető,"8000 Székesfehérvár, Zsálya utca 2.",LAUREL Számítástechnikai Kft.,https://www.profession.hu/allas/projektvezeto-laurel-szamitastechnikai-kft-szekesfehervar-2127546?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
6,IT Development Team Leader,Sárvár,FLEX,https://www.profession.hu/allas/it-development-team-leader-flex-sarvar-2127521?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
7,Manuális szoftvertesztelő,1092 Budapest,TRENDENCY ONLINE Zrt.,https://www.profession.hu/allas/manualis-szoftvertesztelo-trendency-online-zrt-budapest-2127522?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
8,Informatikai üzemeltető munkatárs,"3530 Miskolc, Petőfi Sándor u 1-3.",Miskolc Holding Zrt.,https://www.profession.hu/allas/informatikai-uzemelteto-munkatars-miskolc-holding-zrt-miskolc-2125163?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
9,Scrum Master,XIII. kerület,Prohumán 2004 Kft.,https://www.profession.hu/allas/scrum-master-prohuman-kft-2127536?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
10,Automata Tesztelő,XIV. kerület,Prohumán 2004 Kft.,https://www.profession.hu/allas/automata-tesztelo-prohuman-kft-2127535?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
11,IT Üzleti Elemző,II. kerület,Prohumán 2004 Kft.,https://www.profession.hu/allas/it-uzleti-elemzo-prohuman-kft-2127534?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
12,Produkt Menedzsment Vezető,"2351 Alsónémedi, GLS Európa u. 2.",GLS General Log.SystemsHungary Kft.,https://www.profession.hu/allas/produkt-menedzsment-vezeto-gls-general-log-systemshungary-kft-alsonemedi-2127505?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
13,IT projekt menedzser és minőségbiztosítási szakértő,Országosan bárhonnan pályázható,MENTON Jobs Kft.,https://www.profession.hu/allas/it-projekt-menedzser-es-minosegbiztositasi-szakerto-menton-jobs-kft-2127500?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
14,Délutános Informatikus,"2351 Alsónémedi, GLS Európa u. 2.",GLS General Log.SystemsHungary Kft.,https://www.profession.hu/allas/delutanos-informatikus-gls-general-log-systemshungary-kft-alsonemedi-2127465?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
15,SAP Technical Architect,Budapest,Nissan Sales Central & Eastern Europe Kft.,https://www.profession.hu/allas/sap-technical-architect-nissan-sales-central-eastern-europe-kft-2127418?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
16,Network Engineer,Budapest,Nissan Sales Central & Eastern Europe Kft.,https://www.profession.hu/allas/network-engineer-nissan-sales-central-eastern-europe-kft-2127412?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
