ID,Main,Location,Corporation,Href,Date
0,IT Architect Dealer Frontends (f/m/x),"<selenium.webdriver.remote.webelement.WebElement (session=""fc72332a-c9df-4028-a4b1-6fd372a76997"", element=""775a565e-9700-42e2-85a4-6b7067ce9bf9"")>",BMW Group,https://www.stepstone.de/jobs--IT-Architect-Dealer-Frontends-f-m-x-Munchen-BMW-Group--8811282-inline.html,2023-03-14
1,IT System Engineer Enterprise Output Management (w/m/div.),"<selenium.webdriver.remote.webelement.WebElement (session=""fc72332a-c9df-4028-a4b1-6fd372a76997"", element=""fcff5081-4b84-4efe-838c-aa2f91d4cd65"")>",Bosch Gruppe,https://www.stepstone.de/jobs--IT-System-Engineer-Enterprise-Output-Management-w-m-div-Stuttgart-Bosch-Gruppe--8919527-inline.html,2023-03-14
2,IT Systemadministrator (m/w/d) Microsoft Exchange,"<selenium.webdriver.remote.webelement.WebElement (session=""fc72332a-c9df-4028-a4b1-6fd372a76997"", element=""7fa12811-4d01-4fdf-bef7-02dbedf11686"")>",Heraeus Consulting & IT Solutions GmbH,https://www.stepstone.de/jobs--IT-Systemadministrator-m-w-d-Microsoft-Exchange-Hanau-Heraeus-Consulting-IT-Solutions-GmbH--9319386-inline.html,2023-03-14
3,Senior IT System Engineer / Senior Data Center Specialist (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""fc72332a-c9df-4028-a4b1-6fd372a76997"", element=""c85671a9-9197-4c60-8b63-9ae09b9b9047"")>",TSCNET Services GmbH,https://www.stepstone.de/jobs--Senior-IT-System-Engineer-Senior-Data-Center-Specialist-m-f-d-Munchen-TSCNET-Services-GmbH--9316136-inline.html,2023-03-14
4,IT Support Specialist (w/m/x),"<selenium.webdriver.remote.webelement.WebElement (session=""fc72332a-c9df-4028-a4b1-6fd372a76997"", element=""185ed16c-dfba-4e2c-84d7-ae91d5313fb5"")>",Bavarian International School gAG,https://www.stepstone.de/jobs--IT-Support-Specialist-w-m-x-Haimhausen-Bavarian-International-School-gAG--9312991-inline.html,2023-03-14
5,IT Engineer (f/m/d),"<selenium.webdriver.remote.webelement.WebElement (session=""fc72332a-c9df-4028-a4b1-6fd372a76997"", element=""40af54d1-0d38-40c9-9b1c-38ccc5c4593e"")>",Tianma Europe GmbH,https://www.stepstone.de/jobs--IT-Engineer-f-m-d-Dusseldorf-Tianma-Europe-GmbH--8803382-inline.html,2023-03-14
6,IT Engineer (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""fc72332a-c9df-4028-a4b1-6fd372a76997"", element=""d14037f8-6a2b-4d01-9a1e-abb11eded304"")>",AB Enzymes GmbH,https://www.stepstone.de/jobs--IT-Engineer-m-f-d-Darmstadt-AB-Enzymes-GmbH--9295640-inline.html,2023-03-14
7,IT Service Desk Manager (m/w/d),"<selenium.webdriver.remote.webelement.WebElement (session=""fc72332a-c9df-4028-a4b1-6fd372a76997"", element=""8faa1597-9068-448a-9637-0c58baa9580a"")>",GATX Rail Germany GmbH,https://www.stepstone.de/jobs--IT-Service-Desk-Manager-m-w-d-Hamburg-GATX-Rail-Germany-GmbH--9311345-inline.html,2023-03-14
8,Junior IT-Administrator (m/f/d),"<selenium.webdriver.remote.webelement.WebElement (session=""fc72332a-c9df-4028-a4b1-6fd372a76997"", element=""38f7b82d-3fb6-46c7-b4c0-8cdb11e50b32"")>",About You SE & Co. KG,https://www.stepstone.de/jobs--Junior-IT-Administrator-m-f-d-Hamburg-About-You-SE-Co-KG--9250746-inline.html,2023-03-14
9,Junior IT Specialist - Digitalization and Innovation (f/m/d),"<selenium.webdriver.remote.webelement.WebElement (session=""fc72332a-c9df-4028-a4b1-6fd372a76997"", element=""c46bbf0b-7841-481a-ac6d-0722c990bd7c"")>",Freudenberg Home and Cleaning Solutions GmbH,https://www.stepstone.de/jobs--Junior-IT-Specialist-Digitalization-and-Innovation-f-m-d-Weinheim-Freudenberg-Home-and-Cleaning-Solutions-GmbH--9300329-inline.html,2023-03-14
